date	winnerId	loserId	where	roundPos	team1	winner	team2	loser	score
20200905	495094	528076	H	   1	Grace (IN)	Maximilano Rozas    	Bethel (IN)	Kurtis Davis        	4-6, 6-1, 1-0(4)
20200905	511801	528077	H	   2	Grace (IN)	Ramiro Candia       	Bethel (IN)	Wes Troyer          	6-2, 6-1
20200905	511800	512613	H	   3	Grace (IN)	Fabricio Galvan     	Bethel (IN)	Jerad Bos           	5-2, 6-1
20200905	495203	451264	H	   4	Grace (IN)	Pavle Popovic       	Bethel (IN)	Brian Shembarger    	6-1, 6-2
20200905	524221	462412	H	   5	Grace (IN)	Mauricio Corty      	Bethel (IN)	Jeryl Weaver        	6-2, 6-1
20200905	511805	528078	H	   6	Grace (IN)	Kye Barrett         	Bethel (IN)	Jayson Lagrou       	6-0, 6-2
20200905	511708	528233	A	   1	Indiana Wesleyan	Martin Carrizo      	Spring Arbor	Joel Mast           	6-0, 6-3
20200905	528159	433983	A	   2	Indiana Wesleyan	Stefano Di Aloy     	Spring Arbor	Connor Mogle        	6-1, 6-2
20200905	454542	492340	A	   3	Indiana Wesleyan	Eli Steiner         	Spring Arbor	Drew Hall           	6-0, 6-2
20200905	492313	492343	A	   4	Indiana Wesleyan	Grant Esposito      	Spring Arbor	Brendan Bentley     	6-4, 6-4
20200905	511736	512278	A	   5	Indiana Wesleyan	Isaac Steiner       	Spring Arbor	Jadon Engle         	6-1, 6-1
20200905	511711	528229	A	   6	Indiana Wesleyan	Mariano Jalif       	Spring Arbor	Bret Bentley        	6-1, 6-0
20200905	528233	475733	H	   1	Spring Arbor	Joel Mast           	MVNU	Danny Mayotte       	7-6(4), 6-3
20200905	433983	514576	H	   2	Spring Arbor	Connor Mogle        	MVNU	Justin Haggard      	6-2, 6-0
20200905	492340	514575	H	   3	Spring Arbor	Drew Hall           	MVNU	Drew Jackson        	6-0, 6-3
20200905	492343	560945	H	   4	Spring Arbor	Brendan Bentley     	MVNU	Clayton Amburgy     	6-1, 6-2
20200905	512278	471838	H	   5	Spring Arbor	Jadon Engle         	MVNU	Logan Gauthier      	6-2, 6-2
20200905	528229	514577	H	   6	Spring Arbor	Bret Bentley        	MVNU	Hunter Winey        	6-0, 6-1
20200905	528159	475733	N	   1	Indiana Wesleyan	Stefano Di Aloy     	MVNU	Danny Mayotte       	6-2, 6-1
20200905	511708	514576	N	   2	Indiana Wesleyan	Martin Carrizo      	MVNU	Justin Haggard      	6-0, 6-0
20200905	492313	514575	N	   3	Indiana Wesleyan	Grant Esposito      	MVNU	Drew Jackson        	6-1, 6-1
20200905	454542	560945	N	   4	Indiana Wesleyan	Eli Steiner         	MVNU	Clayton Amburgy     	6-0, 6-0
20200905	511736	471838	N	   5	Indiana Wesleyan	Isaac Steiner       	MVNU	Logan Gauthier      	6-1, 6-0
20200905	511737	514577	N	   6	Indiana Wesleyan	Trey Thixton        	MVNU	Hunter Winey        	6-0, 6-1
20200905	559781	511470	A	   1	Huntington	Alejo Bagnera       	St. Francis (IN)	Tannon Dishman      	6-2, 6-2
20200905	509784	496362	A	   2	Huntington	Diego Tapia         	St. Francis (IN)	Jerod May           	7-5, 6-2
20200905	509785	511469	A	   3	Huntington	Mateo Ameller       	St. Francis (IN)	Austin Schofield    	6-3, 6-0
20200905	509787	496361	A	   4	Huntington	Ethan Hyde          	St. Francis (IN)	Steve Mullaney      	6-3, 6-0
20200905	559781	528244	N	   1	Huntington	Alejo Bagnera       	Goshen	Javier Gallego Murcia	6-4, 2-6, 1-0(8)
20200905	528245	429542	N	   2	Goshen	Insee Akarapan      	Huntington	Rodrigo Manzo       	7-6, 6-3
20200905	495149	509785	N	   3	Goshen	Josh Friesen        	Huntington	Mateo Ameller       	6-3, 6-2
20200905	491130	512009	N	   4	Huntington	Illia Turaba        	Goshen	Wes Beck            	6-0, 6-0
20200905	509784	528243	N	   5	Huntington	Diego Tapia         	Goshen	Caleb Shenk         	6-0, 6-1
20200905	513278	486781	A	   1	Cowley County (KS)	Carlos Castillo     	Southwestern (KS)	David Moral Tebar   	6-1, 6-2
20200905	561066	527918	A	   2	Cowley County (KS)	Aymeric Bruno       	Southwestern (KS)	Sergio Vera         	6-2, 6-2
20200905	561073	392177	A	   3	Cowley County (KS)	Enzo Frequelin      	Southwestern (KS)	Santiago Bracco     	6-1, 6-0
20200905	511105	561074	H	   4	Southwestern (KS)	Benjamin Erdmann    	Cowley County (KS)	Ugo Fiorito         	7-6(5), 7-5
20200905	527919	513283	H	   5	Southwestern (KS)	Federico Poi        	Cowley County (KS)	Hayden Brauer       	6-4, 1-6, 1-0(8)
20200905	561072	511108	A	   6	Cowley County (KS)	Jay Liang           	Southwestern (KS)	David Cruz          	7-5, 6-4
20200908	528173	511470	N	   1	Grace (IN)	David Sandi         	St. Francis (IN)	Tannon Dishman      	6-0, 6-1
20200908	511805	496362	N	   2	Grace (IN)	Kye Barrett         	St. Francis (IN)	Jerod May           	6-2, 3-6, 1-0(5)
20200908	523511	511469	N	   3	Grace (IN)	Francisco Margaria  	St. Francis (IN)	Austin Schofield    	6-1, 6-2
20200908	528172	496361	N	   4	Grace (IN)	Ivan Antinori       	St. Francis (IN)	Steve Mullaney      	6-0, 6-1
20200908	511708	528244	H	   1	Indiana Wesleyan	Martin Carrizo      	Goshen	Javier Gallego Murcia	7-5, 6-3
