date	winnerId	loserId	where	roundPos	team1	winner	team2	loser	score
20110904	442544	392144	N	   2	Bellarmine	Rebecca Porter      	Indianapolis	Brooke Boyts        	6-1,6-2
20110907	436013	452559	A	   1	Saint Louis	Jenny Nalepa        	Lindenwood	Adela Slovaka       	6-0, 6-0
20110907	416285	441831	A	   2	Saint Louis	Stephanie Hollis    	Lindenwood	Mariona Pinol       	6-1, 6-0
20110907	459439	451071	A	   3	Saint Louis	Brooke Urzendowski  	Lindenwood	Sarah Sharpe        	6-0, 6-1
20110907	404769	401207	A	   4	Saint Louis	Mia Elmore          	Lindenwood	Severine DeBeuf     	6-2, 6-1
20110907	458148	387483	A	   5	Saint Louis	Maria Toro Moreno   	Lindenwood	Rachel Bailey       	6-2, 6-3
20110907	419548	394153	A	   6	Saint Louis	Madeline Jolly      	Lindenwood	Brigitte Bustamante 	6-2, 6-2
20110908	424155	385126	N	  64	VCU	Salome Kvitashvili  	Old Dominion	Arina Alilueva      	6-1, 6-0
20110909	476437	388342	H	   1	Holy Cross (MA)	Molly Montgomery    	Regis (MA)	Mj Barron           	6-0, 6-1
20110909	469315	446198	H	   2	Holy Cross (MA)	Carolyn Chandley    	Regis (MA)	Caroline Roche      	6-0, 6-0
20110909	475528	422899	H	   3	Holy Cross (MA)	Emily Marr          	Regis (MA)	Kendall Kolb        	6-0, 6-1
20110909	457123	439460	N	   4	VCU	Olga Terteac        	James Madison	Jacqueline Palmucci 	6-4,6-3
20110909	395798	401569	N	   4	McNeese State	Marcella Castaldi   	Abilene Christian	Felicity Delgado    	1-6, 6-3, 12-10
20110909	451140	421969	N	   4	Stephen F. Austin	Alina Shazhko       	Collin County (TX)	Kristina Kinarkina  	6-4, 6-3
20110909	427786	398461	N	   4	Stephen F. Austin	Julia Lorca         	Abilene Christian	Emily Conrad        	7-5, 6-1
20110909	423100	405990	N	   4	Stephen F. Austin	Elena Kordolaimi    	Tarleton State	Brittni Fausett     	6-1, 6-1
20110909	410989	455831	N	   4	Stephen F. Austin	Malena Gordo        	McNeese State	Anastasio Surkova   	6-2, 6-2
20110909	389172	434175	N	   4	Stephen F. Austin	Tereza Bekerova     	Abilene Christian	Julia Mongin        	6-1, 6-1
20110909	481646	397257	H	   4	Holy Cross (MA)	Maya Welch          	Regis (MA)	Vanneyra Chum       	6-0, 6-0
20110909	480197	440005	H	   5	Holy Cross (MA)	Taylor Stathis      	Regis (MA)	Paige Pasley        	6-0, 6-0
20110909	475756	439419	H	   6	Holy Cross (MA)	Mary McAuliffe      	Regis (MA)	Erika Palmer        	6-0, 6-0
20110909	414779	441774	N	   8	Tulane	Emma Helistén       	James Madison	Taylor Pinchoff     	4-6, 6-3, (10-7)
20110909	439460	420904	N	   8	James Madison	Jacqueline Palmucci 	Columbia	Katarina Kavocevic  	6-3,5-7,(10-2)
20110909	421670	403972	N	   8	Old Dominion	Nika Khmolovska     	Tulane	Emily Dvorak        	6-3, 6-1
20110909	388027	449384	N	   8	Western Kentucky	Carolina Barboza    	Cumberland (TN)	Courtney Schaub     	6-2, 6-0
20110909	463331	401692	N	   8	Penn	Emma Whitfield      	James Madison	Leah Demasters      	6-4, 4-6, 10-1
20110909	444554	436536	N	   8	Abilene Christian	Brittney Reed       	McNeese State	Andreea Nenu        	6-0, 6-0
20110909	455831	430266	N	   8	McNeese State	Anastasio Surkova   	Tarleton State	Karla Martinez      	3-6, 6-3, 10-7
20110909	395798	440941	N	   8	McNeese State	Marcella Castaldi   	Collin County (TX)	Regan Perme         	6-2, 6-0
20110909	451140	415132	N	   8	Stephen F. Austin	Alina Shazhko       	Abilene Christian	Micah Hermsdorf     	3-6, 7-6(3), 10-8
20110909	389172	443275	N	   8	Stephen F. Austin	Tereza Bekerova     	McNeese State	Lara Pujol          	6-1, 6-0
20110909	410989	434177	N	   8	Stephen F. Austin	Malena Gordo        	Abilene Christian	Laura Mongin        	6-4, 6-1
20110909	427786	437124	N	   8	Stephen F. Austin	Julia Lorca         	Tarleton State	Silvia Nieva        	6-1, 6-0
20110909	423100	441590	N	   8	Stephen F. Austin	Elena Kordolaimi    	Collin County (TX)	Sandra Pickerill    	6-0, 6-1
20110909	403974	389393	N	  16	Tulane	Lindsay Dvorak      	Old Dominion	Margarita Belvakova 	6-3, 7-5
20110909	424007	389191	N	  16	Tulane	Mariam Kurdadze     	William & Mary	Maria Belaya        	6-4, 3-0, retire
20110909	428914	409609	N	  16	Tulane	Caroline Magnusson  	VCU	Alena Gerasimova    	7-5, 7-5
20110909	404800	386000	N	  16	Tulane	Hila Elster         	James Madison	Ruxandra Andriescu  	6-3, 6-3
20110909	387935	385657	N	  16	VCU	Ana (nicoleta) Bara 	Winthrop	Camille Amrani      	6-0, 6-2
20110909	465223	393721	N	  16	VCU	Daria Yakauleva     	James Madison	Katherine Bulling   	6-1, 6-1
20110909	387934	440044	N	  16	VCU	Alex Bara           	James Madison	Kinsey Pate         	6-1,6-2
20110909	465223	413246	N	  16	VCU	Daria Yakauleva     	Tulane	Elizabeth Hamlin    	6-3, 6-2
20110909	390713	457611	N	  16	Virginia Tech	Martha Blakely      	Tulane	Caroline Thornton   	7-6 (4), 4-6, (10-5)
20110909	439460	426382	N	  16	James Madison	Jacqueline Palmucci 	Tulane	Emma Levy           	2-6, 6-2 (10-8)
20110909	403238	461398	N	  16	James Madison	Megan Douglass      	William & Mary	Nina Vulvovich      	7-6 (4), 4-6, 10-7
20110909	441906	407361	N	  16	Old Dominion	Juliana Pires       	William & Mary	Victoria Ford       	6-4, 6-1
20110909	448727	416165	N	  16	Columbia	Bianca Sanon        	Tulane	Jenny Hois          	1-3, retire
20110909	388444	415882	N	  16	Columbia	Nicole Bartnik      	VCU	Josefin Hjertquist  	6-0, 6-3
20110909	401860	405265	N	  16	Penn	Daniela DePaoli     	Old Dominion	Melissa Esnal Olguin	7-5, 7-5
20110909	441990	403238	N	  32	VCU	Marketa Placha      	James Madison	Megan Douglass      	6-1, 6-2
20110909	425203	392679	N	  32	Virginia Tech	Emily Lauten        	Penn	Lauren Bridges      	Default
20110909	441496	424290	N	  32	Western Kentucky	Madeline Phillips   	Cumberland (TN)	Tais Lacerda Bezerra	6-0, 6-3
20110909	388444	418075	N	  32	Columbia	Nicole Bartnik      	Old Dominion	Diana Ivanova       	6-3, 6-3
20110909	415882	418075	N	    	VCU	Josefin Hjertquist  	Old Dominion	Diana Ivanova       	6-0, 6-1
20110909	409609	405265	N	    	VCU	Alena Gerasimova    	Old Dominion	Melissa Esnal Olguin	6-4, 6-3
20110909	414938	404651	N	    	Bradley	Adele Henke         	South Dakota	Michelle Elkin      	6-0,6-1
20110909	430786	476127	N	    	Bradley	Corey Mattson       	Robert Morris (IL)	Stephanie Messina   	6-4,6-3
20110909	437201	390027	N	    	Illinois State	Heather Nisbet      	Bradley	Jessie Bertino      	6-1,7-5
20110909	459910	459439	N	    	Tennessee Martin	Johanie Van Zyl     	Saint Louis	Brooke Urzendowski  	9-8
20110909	415132	459140	N	    	Abilene Christian	Micah Hermsdorf     	McNeese State	Tea Tvrtkovic       	6-1, 6-2
20110909	441902	401195	N	    	McNeese State	Diana Pirciu        	Tarleton State	Kayla Deathrage     	6-1, 6-0
20110909	421753	411272	N	    	South Dakota	Marina Kiefer       	Bradley	Monique Graf        	6-0,6-2
20110909	429079	411263	N	    	South Dakota	Veronika Makashov   	Bradley	Brigitte Graf       	6-0,6-1
20110909	388478	431462	N	    	South Dakota	Nina Barudciz       	Bradley	Meredith McDonagh   	6-4,7-5
20110909	450712	464475	N	    	South Dakota	Alena Sergeychik    	Bradley	Cassia Wojtalik     	6-0,6-1
20110909	453454	443204	N	    	South Dakota	Shadi Soleymani     	Bradley	Elizabeth Przystawski	6-3,6-1
20110909	404828	441479	N	    	Chicago State	Karyn Emeralda      	Illinois State	Gabby Phillips      	6-0, 6-3
20110909	456963	433139	N	    	Chicago State	Rosalia Tejoprayitno	Bradley	Carly Miles         	6-1, 6-2
20110909	456964	446242	N	    	Chicago State	Rosalina Tejoprayitno	Bradley	Sarah Rodefeld      	6-1, 6-1
20110909	440786	443275	N	    	Tarleton State	Alicia Perez        	McNeese State	Lara Pujol          	6-1, 6-2
20110910	395798	461693	N	   2	McNeese State	Marcella Castaldi   	Abilene Christian	Jaclyn Walker       	7-6, 6-3
20110910	410989	405990	N	   2	Stephen F. Austin	Malena Gordo        	Tarleton State	Brittni Fausett     	7-5, 6-2
20110910	451140	434175	N	   2	Stephen F. Austin	Alina Shazhko       	Abilene Christian	Julia Mongin        	6-3, 7-5
20110910	423100	455831	N	   2	Stephen F. Austin	Elena Kordolaimi    	McNeese State	Anastasio Surkova   	6-1, 6-0
20110910	427786	444554	N	   2	Stephen F. Austin	Julia Lorca         	Abilene Christian	Brittney Reed       	6-1, 6-4
20110910	389172	421969	N	   2	Stephen F. Austin	Tereza Bekerova     	Collin County (TX)	Kristina Kinarkina  	6-2, 6-2
20110910	404800	424155	N	   4	Tulane	Hila Elster         	VCU	Salome Kvitashvili  	4-6, 6-3, (10-7)
20110910	414779	400723	N	   4	Tulane	Emma Helistén       	Columbia	Chelsea Davis       	6-0, 6-0
20110910	424007	388444	N	   4	Tulane	Mariam Kurdadze     	Columbia	Nicole Bartnik      	6-3, retire
20110910	428914	420617	N	   4	Tulane	Caroline Magnusson  	William & Mary	Katie Kargl         	7-5, 6-3
20110910	403974	441990	N	   4	Tulane	Lindsay Dvorak      	VCU	Marketa Placha      	6-3, 7-6
20110910	387935	402727	N	   4	VCU	Ana (nicoleta) Bara 	Penn	Stephanie Do        	7-6 (2), 6-1
20110910	415882	418086	N	   4	VCU	Josefin Hjertquist  	Virginia Tech	Tea Ivanovic        	6-4, 1-6, 1-0(6)
20110910	422773	397216	N	   4	Creighton	Taylor Koehrsen     	Omaha	Caitlin Christy     	6-2,6-3
20110910	431994	424843	N	   4	Creighton	Mary Pat McMullan   	Northern Iowa	Krissy Lankelma     	7-5,7-6
20110910	413451	423983	N	   4	Nebraska	Mary Hanna          	Northern Iowa	Jessica Kunzelmann  	6-1,6-1
20110910	462390	453675	N	   4	Nebraska	Mary Weatherholt    	Milwaukee	Maddy Soule         	6-1,6-1
20110910	444800	460536	N	   4	Western Kentucky	Monta Reinfelde     	Lindsey Wilson	Laura Vergara       	7-6(5), 6-1
20110910	463331	421670	N	   4	Penn	Emma Whitfield      	Old Dominion	Nika Khmolovska     	3-6, 7-6 (6), 10-6
20110910	424007	418086	N	   8	Tulane	Mariam Kurdadze     	Virginia Tech	Tea Ivanovic        	6-1, 6-4
20110910	404800	453125	N	   8	Tulane	Hila Elster         	William & Mary	Sydney Smith        	6-2, 6-1
20110910	403974	425203	N	   8	Tulane	Lindsay Dvorak      	Virginia Tech	Emily Lauten        	6-2, 6-2
20110910	428914	456334	N	   8	Tulane	Caroline Magnusson  	Columbia	Tiana Takenaga      	6-2, 6-2
20110910	390794	443394	N	   8	Wichita State	Montse Blasco Fernandez	Nebraska	Frederike Putthoff  	6-4,6-3
20110910	465223	446277	N	   8	VCU	Daria Yakauleva     	Penn	Jules Rodin         	6-1 ,6-0
20110910	424155	417877	N	   8	VCU	Salome Kvitashvili  	Penn	Alexandra Ion       	6-7, 6-3, 10-2
20110910	457123	443750	N	   8	VCU	Olga Terteac        	Penn	Srinidhi Raghavan   	6-2, 6-3
20110910	387934	390713	N	   8	VCU	Alex Bara           	Virginia Tech	Martha Blakely      	6-2, 7-5
20110910	431994	416755	N	   8	Creighton	Mary Pat McMullan   	Omaha	Heather Hottman     	6-1,6-1
20110910	422773	452378	N	   8	Creighton	Taylor Koehrsen     	Milwaukee	Brittany Skemp      	6-4,4-6,6-4
20110910	462390	413993	N	   8	Nebraska	Mary Weatherholt    	Creighton	Jennifer Hartjes    	6-2,6-1
20110910	466127	402648	N	   8	Nebraska	Maike Zeppernick    	Northern Iowa	Cassandra Dix       	6-4, 6-0
20110910	443394	387466	N	   8	Nebraska	Frederike Putthoff  	Milwaukee	Chelsea Bailey      	7-5, 6-1
20110910	413451	460467	N	   8	Nebraska	Mary Hanna          	Wichita State	Carla Venticinque   	6-0,6-0
20110910	445856	465344	N	   8	William & Mary	Kayla Rizzolo       	Penn	Jaime Yapp-Shing    	6-2, 6-4
20110910	420617	401860	N	   8	William & Mary	Katie Kargl         	Penn	Daniela DePaoli     	6-0, 7-5
20110910	453675	423596	N	   8	Milwaukee	Maddy Soule         	Drake	Manca Krizman       	6-0 6-2
20110910	424013	425156	N	   8	Milwaukee	Kristin Kurer       	Drake	Earlynn Lauer       	6-2 6-4
20110910	402727	448727	N	   8	Penn	Stephanie Do        	Columbia	Bianca Sanon        	7-5, 6-2
20110910	434398	449607	N	   8	Northern Iowa	Chelsea Moore       	Creighton	Kelsey Schmidt      	6-3,6-0
20110910	424843	386304	N	   8	Northern Iowa	Krissy Lankelma     	Drake	Amanda Aragon       	6-4 6-4
