date	where	score	winner	loser
20150911	A	2-5	Wagner	St. Peter's
20150916	A	9-0	Georgetown	District of Columbia
20150918	H	7-0	Wagner	St. Francis (NY)
20150919	H	7-0	Temple	La Salle
20150919	H	7-0	Temple	Rider
20151001	H	7-2	UC Irvine	UC Santa Cruz
20151017	H	7-0	Drexel	La Salle
20151017	H	7-0	Drexel	Rider
20151017	H	7-0	Quinnipiac	St. Peter's
20151024	H	6-1	Rider	St. Francis (NY)
20151024	H	7-0	Wagner	Holy Cross (MA)
20151025	A	4-3	Longwood	Mount St. Mary's (MD)
20151105	N	6-0	UC Irvine	Air Force
20151105	A	4-3	UC Irvine	Grand Canyon
20151105	N	7-0	Air Force	Southern Utah
20151105	H	6-0	Grand Canyon	Southern Utah
20160108	H	7-0	BYU	Southern Utah
20160109	H	7-0	Washington	Seattle
20160109	H	7-0	Washington	Seattle
20160112	H	7-0	Texas	Abilene Christian
20160112	H	6-1	Texas	Lamar
20160113	H	4-3	Georgia Tech	ETSU
20160113	H	6-1	Georgia Tech	Presbyterian
20160114	H	4-0	Florida Gulf Coast	St. John's (NY)
20160115	H	4-3	Tulsa	California
20160115	H	7-0	Tulsa	Oral Roberts
20160115	H	6-1	Duke	Elon
20160115	H	7-0	Oklahoma State	Creighton
20160115	H	7-0	Oklahoma State	UNLV
20160115	H	5-0	Texas Tech	Arizona
20160115	H	4-2	Texas Tech	Pacific (CA)
20160115	H	4-3	Hawaii	Sacramento State
20160115	A	4-3	UC Santa Barbara	Washington
20160115	A	4-3	William & Mary	Yale
20160115	N	4-2	New Mexico	Pacific (CA)
20160115	N	4-2	Arizona	New Mexico
20160115	N	5-2	Utah	San Francisco
20160115	H	7-0	Auburn	The Citadel
20160115	H	7-0	Auburn	The Citadel
20160116	N	3-2	Temple	Richmond
20160116	H	7-0	Tulane	Jackson State
20160116	H	7-0	Tulane	Jackson State
20160116	N	4-0	Clemson	Mercer
20160116	A	4-0	Florida State	Florida A&M
20160116	H	7-0	Florida State	South Alabama
20160116	H	7-0	Notre Dame	Detroit Mercy
20160116	H	6-1	Notre Dame	Michigan State
20160116	H	6-0	North Carolina	Georgetown
20160116	H	6-1	North Carolina	NC A&T
20160116	N	6-1	Texas	UC Santa Barbara
20160116	H	4-1	Texas Tech	Pacific (CA)
20160116	H	4-0	Texas Tech	New Mexico
20160116	H	7-0	UNC Wilmington	Appalachian State
20160116	H	7-0	Dartmouth	Bryant
20160116	H	6-1	Dartmouth	Buffalo
20160116	H	6-1	Harvard	Boston College
20160116	H	4-3	Harvard	William & Mary
20160116	H	7-0	Penn	Navy
20160116	H	5-2	Boise State	Grand Canyon
20160116	H	7-0	Boise State	Montana State
20160116	A	6-1	Nevada	UC Riverside
20160116	N	7-0	UNLV	Creighton
20160116	A	7-0	Utah State	Grand View
20160116	N	4-2	Arizona	New Mexico
20160116	H	6-1	Oregon	Seattle
20160116	H	7-0	Oregon	Seattle
20160116	H	6-1	Alabama	Georgia State
20160116	A	4-3	Lamar	Louisiana
20160116	A	4-3	Georgia Southern	Davidson
20160116	N	5-1	South Alabama	Florida A&M
20160116	N	4-0	BYU	Sacramento State
20160116	N	4-3	Pacific (CA)	Arizona
20160116	A	4-2	San Francisco	Hawaii
20160116	H	4-1	San Diego	UC Irvine
20160116	H	4-0	San Diego	UCSD
20160117	H	5-2	Miami (FL)	Florida Atlantic
20160117	H	5-2	N.C. State	Elon
20160117	A	6-1	Villanova	Delaware
