date	where	score	winner	loser
20170901	H	6-0	William Jewell	Grand View
20170906	A	5-4	Tiffin	Lawrence Tech
20170907	H	9-0	UMSL	Missouri Baptist
20170907	A	1-8	Mercyhurst	Allegheny
20170907	A	6-3	Iowa Central	Grand View
20170907	H	9-0	Meridian (MS)	East Central (MS)
20170908	A	5-4	Newberry	North Greenville
20170908	A	9-0	Eastern Nazarene	Regis (MA)
20170908	H	9-0	Earlham	Miami Middletown
20170909	N	5-4	UTPB	Colorado Mesa
20170909	A	7-2	Anderson (SC)	North Greenville
20170909	A	8-1	Tusculum	Virginia Wise
20170909	A	6-3	Catholic	Stevenson
20170909	A	9-0	Juniata	Lycoming
20170909	A	9-0	Vassar	Bard
20170909	H	8-1	Vassar	Union (NY)
20170909	H	7-2	Allegheny	Franciscan
20170909	H	9-0	Allegheny	Westminster (PA)
20170909	N	7-2	Franciscan	Grove City
20170909	H	6-3	LaGrange	Oxford (GA)
20170910	H	6-3	Walsh	Wooster
20170910	H	7-2	Skidmore	Bard
20170910	H	8-1	Stevenson	Frostburg State
20170910	H	2-7	Earlham	Indiana Tech
20170910	H	8-1	Earlham	Trine
20170911	A	8-1	Georgetown	District of Columbia
20170911	A	5-4	Lycoming	Marywood
20170912	H	8-1	Endicott	St. Anselm
20170913	H	6-3	Walsh	Tiffin
20170913	A	6-3	West Liberty	Grove City
20170913	H	7-2	Loras	St. Ambrose
20170913	A	8-1	Southern Virginia	Shepherd
20170913	A	5-2	Eastern Nazarene	Holy Cross (MA)
20170914	H	8-1	SNHU	Colby-Sawyer
20170914	A	7-1	Susquehanna	Lycoming
20170914	H	8-1	Baldwin Wallace	MVNU
20170914	A	5-4	Marion Military	Meridian (MS)
20170915	A	4-5	UTPB	CSU-Pueblo
20170915	N	5-4	UTPB	Metropolitan State
20170915	H	6-3	Central (IA)	Grand View
20170915	H	7-2	Juniata	Penn State - Harrisburg
20170915	H	9-0	Mount Union	St. Vincent
20170915	A	7-2	Greenville	Loras
20170915	H	8-1	Harford (MD)	Rowan (NJ)
20170916	H	6-1	Siena	St. Francis (NY)
20170916	A	9-0	UTPB	Colorado College
20170916	N	6-3	Newman	Colorado Mesa
20170916	H	5-4	Newman	Metropolitan State
20170916	H	8-1	Lenoir-Rhyne	Montreat
20170916	H	9-0	St. Mary's (MD)	Hood
20170916	A	9-0	Southern Virginia	Virginia Wise
20170916	H	6-3	Regis (MA)	Emerson
20170916	A	5-2	Catholic	McDaniel
20170916	H	7-2	Goucher	Dickinson
20170916	H	9-0	Moravian	Delaware Valley
20170916	H	8-1	Arcadia	Penn College
20170916	H	9-0	Wilkes	Keystone
20170916	H	9-0	Wilkes	Messiah
20170916	H	6-3	Geneva	Frostburg State
20170916	H	7-2	Covenant	Christian Brothers
20170917	A	1-8	St. Mary's (MD)	Catholic
20170917	H	6-3	FDU Florham	Moravian
20170918	H	9-0	District of Columbia	Harford (MD)
20170918	A	9-0	Southern Virginia	Concord
20170918	A	6-2	Coast Guard	Assumption
20170919	H	6-0	Concordia (NY)	St. Thomas Aquinas
20170919	A	9-0	Regis (MA)	Salem State
20170919	A	9-0	Carnegie Mellon	Grove City
20170920	A	5-2	Tusculum	Emmanuel (GA)
20170920	H	6-3	Delaware Valley	Immaculata
20170920	H	9-0	Williams	Springfield
20170921	A	6-3	Shepherd	Hood
20170921	A	8-1	Southern Virginia	Roanoke
20170921	H	7-2	Baldwin Wallace	Grove City
20170922	A	6-3	DeSales	Albright
20170922	H	9-0	Williams	Vassar
20170922	H	9-0	Mount Union	Penn State Behrend
20170923	N	7-2	Johnson C. Smith	Brevard
20170923	H	5-4	Lake Superior St.	Aquinas (MI)
20170923	H	1-7	St. Mary's (TX)	OLLU (TX)
20170923	A	7-1	Limestone	Mars Hill
20170923	H	9-0	Lenoir-Rhyne	Brevard
20170923	H	9-0	Lenoir-Rhyne	Johnson C. Smith
20170923	H	9-0	Southern Virginia	Emory & Henry
20170923	H	8-1	Union (NY)	Bard
20170923	H	9-0	King's (PA)	Lycoming
20170923	A	9-0	Baldwin Wallace	Westminster (PA)
20170924	H	6-1	Lafayette	Muhlenberg
20170924	A	9-0	Lake Superior St.	Adrian
20170924	H	9-0	Millersville	Elizabethtown
20170924	A	9-0	Roger Williams	UMass Boston
20170924	A	8-1	RIT	St. John Fisher
20170924	H	9-0	King's (PA)	Marywood
20170924	H	8-1	King's (PA)	Penn College
20170924	A	8-1	LaGrange	Gadsden State
20170925	H	5-4	Tusculum	King (TN)
20170925	A	9-0	Scranton	Marywood
20170925	A	6-3	DeSales	Moravian
20170926	H	9-0	Findlay	Heidelberg
20170926	H	6-2	Eastern Nazarene	Stonehill
20170926	H	7-2	Regis (MA)	Salve Regina
20170926	A	5-4	DeSales	Brandywine
20170926	H	9-0	Allegheny	St. Vincent
20170926	H	8-1	Penn State - Berks	Albright
20170927	H	8-1	Daemen	RIT
20170927	H	9-0	Findlay	Shawnee State
20170927	A	9-0	Bentley	Salem State
20170927	A	7-2	Catawba	Pfeiffer
20170927	H	5-4	Arcadia	Cabrini
20170927	H	8-1	Penn State - Harrisburg	Albright
20170928	A	6-1	Lafayette	Rider
20170928	H	6-3	Sciences (Philadelphia)	Millersville
20170928	H	5-4	Roberts Wesleyan	Rochester (NY)
20170928	H	9-0	Stonehill	UMass Dartmouth
20170928	A	8-1	Harford (MD)	Hood
20170929	A	7-2	Oneonta	Baruch
20170929	A	9-0	Meridian (MS)	East Central (MS)
20170930	H	7-0	Siena	Holy Cross (MA)
20170930	A	5-4	Walsh	Daemen
20170930	H	9-0	Arkansas Ft. Smith	Christian Brothers
20170930	A	8-1	Scranton	Messiah
20170930	H	5-4	Salem State	Emerson
20170930	H	9-0	Wilkes	Penn College
20170930	A	9-0	Penn State - Berks	Immaculata
20171001	H	9-0	Daemen	Oswego
20171001	H	8-1	St. Thomas Aquinas	Sciences (Philadelphia)
20171001	H	9-0	Illinois Springfield	Quincy
20171001	A	4-3	Walsh	Niagara
20171001	H	5-4	Bentley	Post
20171001	A	5-4	Elizabethtown	Penn State - Harrisburg
20171001	H	7-2	Lebanon Valley	Susquehanna
20171002	H	7-2	Endicott	Holy Cross (MA)
20171002	A	6-3	Gettysburg	Shepherd
20171002	A	9-0	Otterbein	Shawnee State
20171003	A	7-2	King (TN)	Mars Hill
20171003	H	8-1	Hillsdale	Indiana Tech
20171003	A	8-1	Eastern Nazarene	UMass Dartmouth
20171003	A	5-4	Lycoming	Penn College
20171004	H	7-0	Fairfield	Rider
20171004	A	8-1	Chestnut Hill	Sciences (Philadelphia)
20171004	H	7-2	NYIT	Franklin Pierce
20171004	A	8-1	St. Thomas Aquinas	West Chester
20171004	H	8-1	Bentley	Nichols
20171004	H	8-1	SNHU	St. Anselm
20171004	H	9-0	Southern Virginia	Randolph
20171004	A	5-4	Gordon (MA)	Springfield
20171004	H	8-1	DeSales	Alvernia
20171004	H	8-1	Ramapo	Mt. St. Mary (NY)
20171005	A	8-1	Mount Olive	Catawba
20171005	H	9-0	Daemen	Houghton
20171005	A	5-4	St. Thomas Aquinas	Jefferson
20171005	A	9-0	Regis (MA)	UMass Dartmouth
20171005	H	8-1	Drew	Farmingdale State
20171006	A	9-0	Southeastern (OK)	Arkansas Ft. Smith
20171006	H	6-3	Purdue Northwest	Midland (NE)
20171006	A	8-1	Illinois Springfield	Lindenwood-Belleville
20171006	A	8-1	Edinboro	West Chester
20171006	A	7-2	Cabrini	Penn State - Berks
20171006	A	8-1	Oglethorpe	Oxford (GA)
20171007	H	6-1	Fordham	Adelphi
20171007	H	6-1	Fordham	Ramapo
20171007	H	5-2	Fordham	St. Peter's
20171007	A	8-1	North Greenville	Mars Hill
20171007	A	7-2	William Jewell	Baker
20171007	A	7-2	Fairmont State	West Chester
20171007	H	9-0	Lander	Limestone
20171007	A	9-0	Edinboro	Millersville
20171007	H	9-0	Goucher	Messiah
20171007	H	9-0	Goucher	Penn State - Harrisburg
20171007	H	9-0	Goucher	Stevenson
20171007	H	5-4	FDU Florham	Farmingdale State
20171007	H	8-1	FDU Florham	Marywood
20171007	H	8-1	Lycoming	Misericordia
20171007	A	8-1	Otterbein	MVNU
20171007	A	5-4	Randolph	Catholic
20171007	H	8-1	Franciscan	Capital (OH)
20171008	A	7-2	Fairmont State	Millersville
20171008	H	9-0	Newberry	Johnson C. Smith
20171008	N	9-0	Christopher Newport	Oberlin
20171008	H	5-4	Susquehanna	Penn State - Harrisburg
20171008	H	9-0	Skidmore	RIT
20171008	H	8-1	FDU Florham	Lycoming
20171008	H	5-4	Carnegie Mellon	Christopher Newport
20171008	H	6-1	Carnegie Mellon	Oberlin
20171009	H	9-0	Ramapo	Baruch
20171010	A	6-1	Wagner	Rider
20171010	A	5-4	Le Moyne	Roberts Wesleyan
20171011	A	8-1	Tusculum	Montreat
20171012	A	6-3	Merrimack	Gordon (MA)
20171013	A	4-1	Wagner	Hofstra
20171013	A	6-3	Chestnut Hill	Jefferson
20171013	A	7-2	Belmont Abbey	Johnson C. Smith
20171014	H	4-3	Hofstra	Fairfield
20171014	H	7-0	Quinnipiac	St. Peter's
20171014	H	6-1	Siena	Rider
20171014	A	6-3	Roberts Wesleyan	Post
20171014	H	9-0	Illinois Springfield	Truman State
20171014	A	9-0	Averett	Emory & Henry
20171015	A	6-3	Salve Regina	JWU Providence
20171015	H	5-2	Connecticut	Bentley
20171015	H	6-1	Connecticut	Sacred Heart
20171016	A	7-2	Assumption	Gordon (MA)
20171017	N	8-1	Newberry	Catawba
20171018	H	4-5	Aurora	Waubonsee (IL)
20171019	A	6-3	Lincoln Memorial	Emmanuel (GA)
20171020	A	5-4	Le Moyne	District of Columbia
20171020	H	9-0	Newberry	Erskine
20171020	A	5-4	Meridian (MS)	Marion Military
20171021	H	7-2	Illinois Springfield	Maryville (MO)
20171021	H	5-4	Kutztown	Le Moyne
20171023	H	5-4	St. Thomas Aquinas	Kutztown
20171025	H	7-2	North Georgia	Emmanuel (GA)
20171025	H	6-3	Ramapo	Yeshiva
20171027	H	6-3	Anderson (SC)	Emmanuel (GA)
20171028	H	5-1	Wagner	Siena
20180105	A	7-0	Florida State	Hawaii
20180106	A	7-0	Florida State	Hawaii
20180107	A	5-2	Texas Tech	Hawaii
20180108	N	6-1	Florida State	Texas Tech
20180109	H	7-0	Georgia Tech	The Citadel
20180109	H	7-0	Georgia Tech	The Citadel
20180110	A	5-2	Texas Tech	Hawaii
