date	where	score	winner	loser
20180815	N	5-2	UTPB	Colorado Mesa
20180901	A	9-0	Cowley County (KS)	Southwestern (KS)
20180907	A	9-0	Stonehill	Regis (MA)
20180908	H	9-0	Susquehanna	Penn College
20180910	A	8-1	Trine	Manchester
20180911	H	7-0	West Liberty	Grove City
20180911	H	4-3	Washburn-Topeka	Cowley County (KS)
20180911	A	0-0	Elmhurst	Roosevelt
20180912	A	6-1	Sciences (Philadelphia)	Millersville
20180912	H	5-2	Purdue Northwest	St. Francis (IL)
20180912	H	0-0	Millikin	Olivet Nazarene
20180914	H	7-2	Loras	Greenville
20180914	A	8-1	Mount Union	Penn State Behrend
20180914	H	8-1	Collin County (TX)	Texas Wesleyan
20180915	H	4-3	Cedarville	Bellarmine
20180915	N	4-3	Colorado Mesa	Newman
20180915	A	9-0	Muhlenberg	Moravian
20180916	A	4-2	Newman	CSU-Pueblo
20180916	A	7-2	York (PA)	Lebanon Valley
20180916	A	8-1	Stevenson	Catholic
20180918	H	5-2	Hillsdale	Indiana Tech
20180918	A	8-1	Union (NY)	Bard
20180918	H	9-0	Coast Guard	Assumption
20180918	A	6-3	Cowley County (KS)	Baker
20180919	H	4-3	North Greenville	Mars Hill
20180919	A	5-2	Tusculum	King (TN)
20180919	H	5-3	Penn State - Abington	Arcadia
20180919	H	7-2	Clark (MA)	JWU Providence
20180919	H	7-2	Principia	Missouri Baptist
20180920	H	9-0	Hanover	Oakland City
20180920	H	8-1	Babson	Eastern Nazarene
20180920	A	4-3	Cowley County (KS)	Emporia State
20180921	H	6-1	NYIT	Sciences (Philadelphia)
20180921	A	7-0	Catawba	North Greenville
20180921	H	8-1	Union (NY)	Manhattanville
20180921	A	8-1	Wooster	Mount Union
20180921	H	7-2	Penn State - Abington	Albright
20180922	A	5-2	Illinois Springfield	Lindenwood
20180922	A	6-3	Cedarville	Taylor
20180922	A	6-3	Cedarville	Taylor
20180922	H	6-1	Findlay	Ohio Northern
20180922	A	7-0	Anderson (SC)	North Greenville
20180922	H	5-2	Lincoln Memorial	Emmanuel (GA)
20180922	A	9-0	Frostburg State	Hood
20180922	A	0-0	Brandywine	DeSales
20180922	H	6-3	Susquehanna	Lebanon Valley
20180922	H	9-0	Vassar	Bard
20180922	H	5-4	Vassar	Coast Guard
20180922	H	9-0	Allegheny	Franciscan
20180922	H	9-0	Allegheny	Grove City
20180922	H	5-4	Wooster	Walsh
20180922	H	5-4	Wooster	Walsh
20180922	N	8-1	Amherst	Hobart & William Smith
20180922	A	8-1	Amherst	Skidmore
20180923	H	7-0	Anderson (SC)	USC Sumter
20180923	H	5-4	Manchester	Franklin (IN)
20180923	A	9-0	Ramapo	Bard
20180924	A	6-3	Mars Hill	Milligan
20180924	H	9-0	Oswego	Elmira
20180924	A	0-0	DePauw	Marian (IN)
20180925	H	7-2	Carthage	St. Francis (IL)
20180926	A	5-2	Hofstra	NYIT
20180926	A	5-3	Holy Cross (MA)	Eastern Nazarene
20180926	H	7-0	Cedarville	West Virginia State
20180926	H	5-0	Susquehanna	Lycoming
20180926	H	6-3	Rochester (NY)	Roberts Wesleyan
20180927	A	7-0	Merrimack	St. Anselm
20180927	H	4-3	Post	Assumption
20180927	H	6-1	St. Thomas Aquinas	Jefferson
20180928	A	7-2	Mount Union	Franciscan
20180929	H	8-1	Gettysburg	St. Mary's (MD)
20180929	H	6-3	Franklin (IN)	Anderson (IN)
20180929	H	9-0	Drew	King's (PA)
20180929	H	8-1	Pacific (OR)	Willamette
20180930	A	6-1	Siena	Holy Cross (MA)
20180930	H	6-1	Merrimack	Daemen
20180930	H	8-1	Frostburg State	Pittsburgh Greensburg
20180930	H	8-1	Drew	Arcadia
20180930	H	6-2	Drew	Arcadia
20180930	H	9-0	RIT	Nazareth
20180930	H	9-0	Emory & Henry	Maryville (TN)
20180930	A	6-1	Roanoke	Virginia Wise
20181001	A	8-1	Moravian	Gwynedd-Mercy
20181001	A	6-3	Bridgewater	Gettysburg
20181001	A	8-1	Emory & Henry	Johnson (TN)
20181002	A	4-3	Davis & Elkins	Fairmont State
20181002	H	5-4	Arcadia	DeSales
20181002	H	6-3	Eastern (PA)	Penn State - Abington
20181003	A	5-2	Chestnut Hill	Jefferson
20181003	A	6-1	Post	St. Anselm
20181003	A	5-2	Roberts Wesleyan	Niagara
20181003	H	5-4	Moravian	FDU Florham
20181003	A	6-3	Springfield	Gordon (MA)
20181004	H	4-3	Newman	Barton County (KS)
20181004	A	8-1	Bentley	Nichols
20181004	A	7-0	Anderson (SC)	Emmanuel (GA)
20181004	H	9-0	Wheaton (MA)	Endicott
20181005	H	5-2	King (TN)	Mars Hill
20181005	A	4-3	Christian Brothers	Tennessee State
20181005	H	5-2	Bentley	Eastern Nazarene
20181005	H	8-1	Southern Virginia	Pfeiffer
20181005	H	9-0	Carnegie Mellon	Walsh
20181006	H	7-0	Quinnipiac	Rider
20181006	A	4-3	Belmont Abbey	Bluefield State
20181006	N	7-0	Belmont Abbey	Charleston
20181006	H	6-1	Cedarville	Indiana East
20181006	H	6-1	Cedarville	Indiana East
20181006	A	6-3	Findlay	Oberlin
20181006	A	6-1	Christian Brothers	Carson-Newman
20181006	H	6-1	Colorado Mesa	Colorado College
20181006	H	7-2	St. Mary's (MD)	Catholic
20181006	N	6-3	Southern Virginia	Averett
20181006	A	9-0	Southern Virginia	Randolph
20181007	A	6-1	Siena	Rider
20181007	A	4-3	Bluefield State	Catawba
20181007	A	7-0	SNHU	Roberts Wesleyan
20181007	H	7-0	Lenoir-Rhyne	Johnson C. Smith
20181007	H	5-1	Lenoir-Rhyne	Montreat
20181007	A	8-1	King's (PA)	Lycoming
20181007	A	9-0	King's (PA)	Penn College
20181007	A	5-4	Stevenson	St. Mary's (MD)
20181007	H	8-1	Emerson	JWU Providence
20181007	H	8-1	Linfield	Willamette
20181007	H	8-1	Averett	Randolph
20181007	H	5-4	Gadsden State	Marion Military
20181007	H	6-1	Connecticut	Merrimack
20181008	A	6-1	SNHU	Daemen
20181008	A	5-4	Coast Guard	Nichols
20181009	A	7-0	Fairfield	Rider
20181009	A	7-0	Chestnut Hill	West Chester
20181009	A	7-2	Penn College	Lycoming
20181009	H	9-0	Penn State - Harrisburg	Arcadia
20181010	A	9-0	Holy Cross (MA)	Springfield
20181010	A	6-0	Colby-Sawyer	Albertus Magnus
20181011	A	5-2	Maryville (MO)	Lindenwood
20181012	H	4-3	Rider	St. Francis (NY)
20181012	H	6-1	Washburn-Topeka	Kansas Wesleyan
20181012	A	5-4	Emerson	Regis (MA)
20181012	H	5-4	Ramapo	Baruch
20181013	A	7-0	Chestnut Hill	Kutztown
20181013	A	0-0	St. Michael's	Gordon (MA)
20181014	H	6-1	Bryant	Bentley
20181014	H	7-0	Illinois Springfield	Truman State
20181014	A	7-2	JWU Providence	Salve Regina
20181016	H	7-0	Roberts Wesleyan	Houghton
20181016	H	7-2	Babson	Merrimack
20181016	H	8-1	George Fox	UC Santa Cruz
20181017	A	7-0	North Georgia	Emmanuel (GA)
20181017	H	7-2	Pacific (OR)	UC Santa Cruz
20181019	H	4-3	Jefferson	Millersville
20181019	A	7-0	SNHU	St. Anselm
20181020	A	4-3	Wagner	Fairfield
20181020	A	0-0	Holy Cross (MA)	Connecticut
20181020	H	7-0	Connecticut	Franklin Pierce
20181021	N	0-0	Maryville (TN)	Milligan
20181024	H	4-3	Fairfield	Sacred Heart
20181024	H	7-0	Davis & Elkins	West Virginia State
20181024	A	4-3	Newberry	Emmanuel (GA)
20181025	N	4-3	Catawba	Newberry
20181027	A	0-0	Wallace State	Oxford (GA)
20181028	A	6-3	Bellarmine	Indiana Southeast
20181103	A	6-1	Presbyterian	Newberry
20181103	N	7-0	Presbyterian	North Greenville
20181103	H	5-2	Newberry	North Greenville
20181103	H	7-2	Wallace State	Gadsden State
20181104	H	7-0	Emporia State	McPherson
20181114	H	9-0	Yeshiva	Albertus Magnus
20190110	H	4-0	Florida State	Georgia Southern
20190110	H	7-0	Florida State	Mercer
20190110	N	7-0	Mercer	Florida A&M
20190110	N	7-0	Georgia Southern	Florida A&M
20190111	A	6-1	Louisville	Hawaii
20190111	H	7-0	Tulsa	Bryant
20190111	N	5-2	Texas Tech	Bryant
20190111	A	4-3	Texas Tech	Tulsa
20190111	H	7-0	Auburn	Jackson State
20190111	H	4-0	Auburn	Jackson State
20190111	H	7-0	South Carolina	The Citadel
20190111	H	7-0	South Carolina	The Citadel
20190111	H	6-1	BYU	Weber State
20190112	H	4-3	Duke	Elon
20190112	H	4-0	Florida State	UAB
20190112	H	4-0	Florida State	New Orleans
20190112	N	4-1	North Florida	Louisiana
20190112	N	4-3	Xavier	Chicago State
