date	where	score	winner	loser
20190811	A	0-0	Clarion	Bloomsburg
20190828	A	8-1	Millikin	Illinois College
20190829	H	7-0	Valparaiso	Grace (IN)
20190829	A	9-0	Oneonta	Alfred
20190830	A	8-1	Wartburg	Monmouth (IL)
20190830	H	9-0	Carroll (WI)	Alverno
20190830	H	6-3	Carroll (WI)	MSOE
20190830	A	8-1	JWU Providence	Curry
20190830	H	5-4	Concordia (WI)	Carroll (WI)
20190830	N	7-2	Edgewood	St. Norbert
20190830	N	0-0	Edgewood	UW Stevens Point
20190830	H	7-2	Brockport	Nazareth
20190830	A	0-0	Fredonia	D'Youville
20190830	A	9-0	UW La Crosse	Lawrence
20190830	H	9-0	UW Whitewater	UW Oshkosh
20190831	H	6-1	Quincy	Webster
20190831	A	9-0	Central (IA)	Monmouth (IL)
20190831	N	5-4	Loras	MSOE
20190831	H	9-0	Roger Williams	Simmons
20190831	N	0-0	Elmhurst	Loras
20190831	H	7-2	Millikin	Cornell College
20190831	H	9-0	North Central (IL)	Concordia (WI)
20190831	H	7-2	North Central (IL)	Wartburg
20190831	H	6-3	North Park	Knox (IL)
20190831	H	5-2	North Park	Wisconsin Lutheran
20190831	A	7-2	Wheaton (IL)	Luther (IA)
20190831	N	9-0	Regis (MA)	Thomas (ME)
20190831	N	9-0	Cornell College	Dubuque
20190831	N	5-4	Knox (IL)	Wisconsin Lutheran
20190831	H	6-3	Lake Forest	Edgewood
20190831	H	8-1	Lake Forest	Illinois Tech
20190831	N	6-3	Concordia (WI)	Wartburg
20190831	N	9-0	Greenville	Dubuque
20190831	A	5-4	Greenville	Millikin
20190831	A	6-2	Brockport	Alfred
20190831	A	7-2	Oswego	Hartwick
20190831	A	7-0	Cowley County (KS)	Southwestern (KS)
20190901	H	5-2	Roberts Wesleyan	Brockport
20190901	A	0-0	Rutgers - Camden	TCNJ
20190901	H	0-0	TCNJ	Rutgers - Newark
20190903	H	5-4	Houghton	Oswego
20190903	A	8-1	Eastern Nazarene	Curry
20190903	A	0-0	Cornell College	Simpson (IA)
20190903	A	5-4	Baldwin Wallace	Franciscan
20190903	A	7-2	Yeshiva	Brooklyn
20190903	H	6-3	UW Oshkosh	Lawrence
20190904	A	0-0	Penn State Behrend	Fredonia
20190904	H	7-2	North Central (IL)	Carroll (WI)
20190904	H	8-1	Wheaton (IL)	Judson (IL)
20190904	H	5-4	JWU Providence	Gordon (MA)
20190904	H	5-4	Anderson (IN)	Indiana Kokomo
20190904	A	0-0	Dominican (IL)	North Park
20190904	H	8-1	Concordia (WI)	MSOE
20190904	H	9-0	Illinois Tech	CUC
20190904	A	0-0	TCNJ	Stockton
20190905	H	7-0	Stonehill	New Haven
20190905	H	6-3	Delaware Valley	Cairn
20190905	H	5-4	Lawrence	Marian (WI)
20190905	A	0-0	Lesley	Simmons
20190905	A	9-0	UW Oshkosh	Ripon
20190906	H	7-0	Queens (NY)	St. Thomas Aquinas
20190906	A	7-0	District of Columbia	Daemen
20190906	A	0-0	Michigan Tech	Lawrence Tech
20190906	A	9-0	Millikin	North Park
20190906	H	8-1	North Central (IL)	Illinois Wesleyan
20190906	H	7-2	Wheaton (IL)	Carthage
20190906	A	5-4	Brockport	St. John Fisher
20190906	A	0-0	Fredonia	Pittsburgh - Bradford
20190906	A	5-4	Oneonta	Farmingdale State
20190907	H	4-3	Dominican (NY)	American International
20190907	A	7-0	St. Thomas Aquinas	Molloy
20190907	A	7-0	District of Columbia	Roberts Wesleyan
20190907	H	6-1	Purdue Northwest	Judson (IL)
20190907	N	4-3	Notre Dame (OH)	Wesleyan (WV)
20190907	H	7-0	Fort Hays State	Hastings
20190907	A	5-0	Le Moyne	Sciences (Philadelphia)
20190907	A	6-1	Anderson (SC)	Johnson C. Smith
20190907	A	9-0	Central (IA)	Dubuque
20190907	H	8-1	Loras	Central (IA)
20190907	A	9-0	Luther (IA)	Nebraska Wesleyan
20190907	A	9-0	Luther (IA)	Buena Vista
20190907	A	5-4	Simpson (IA)	Dubuque
20190907	A	0-0	Simpson (IA)	Loras
20190907	A	6-3	Illinois Wesleyan	North Park
20190907	H	9-0	North Central (IL)	Millikin
20190907	H	8-1	Wheaton (IL)	Carroll (WI)
20190907	A	0-0	Alfred	Pittsburgh - Bradford
20190907	A	7-2	Sage Colleges	Oswego
20190907	A	9-0	JWU Providence	Albertus Magnus
