date	winnerId	loserId	where	roundPos	team1	winner	team2	loser	score
20140228	435107	385107	N	   2	UMass	Yuliana Motyl       	Fordham	Sarah Ali           	2-6 6-3 6-0
20140228	416285	451361	H	   2	Saint Louis	Stephanie Hollis    	Cleveland State	Kara Sherwood       	6-0, 6-0
20140228	422781	418501	H	   2	Clemson	Romy Köelzer        	N.C. State	Rachael James-Baker 	6-2, 7-5
20140228	443104	391670	A	   2	Georgia Tech	Natasha Prokhnevska 	Florida State	Daneika Borthwick   	6-4, 6-3
20140228	425187	391641	H	   2	Miami (FL)	Kelsey Laurente     	Boston College	Lexi Borr           	6-0, 6-1
20140228	395533	412213	H	   2	North Carolina	Hayley Carter       	Wake Forest	Kimmy Guerin        	6-1, 6-0
20140228	410223	410491	A	   2	Notre Dame	Quinn Gleason       	Duke	Ester Goldfeld      	6-0, 6-4
20140228	446250	454992	H	   2	Syracuse	Amanda Rodgers      	Virginia Tech	Ilinca Stoica       	6-4, 7-5
20140228	386241	403096	A	   2	Kennesaw State	Alexandra Apostu    	Troy	Lyubov Dorafeeva    	1-6, 6-3, 1-0 (10-6)
20140228	395769	401251	H	   2	Iowa State	Meghan Cassens      	Bradley	Ariel Dechter       	6-0, 6-3
20140228	395769	440306	H	   2	Iowa State	Meghan Cassens      	South Dakota	Milica Pavlovic     	6-2, 6-2
20140228	439669	453499	N	   2	TCU	Simona Parajova     	Sacramento State	Alina Soltanici     	6-3, 6-1
20140228	461061	401454	A	   2	DePaul	Ana Vladutu         	Northern Illinois	Haley Dekkinga      	6-3,6-2
20140228	437568	466003	A	   2	Charleston Southern	Alia Nour           	Columbia (SC)	Sofija Zarev        	6-1, 6-0
20140228	445815	386966	H	   2	UNC Asheville	Ericka Rivero       	Nicholls State	Marie Aubert        	7-5, 6-2
20140228	416826	462186	A	   2	Maryland	Kristina Hovseepyan 	Pittsburgh	Taylor Washington   	6-4, 6-1
20140228	412026	466464	H	   2	Charlotte	Lisa Grosselius     	USC Upstate	Anna Zoske          	6-2, 6-1
20140228	411240	444099	H	   2	Middle Tennessee	Jesse Grace         	Tennessee State	Trinity Randolph    	6-1, 6-0
20140228	432910	418384	N	   2	UTEP	Davina Meza         	Sam Houston	Imke Jagau          	6-0, 6-2
20140228	448727	439486	H	   2	Columbia	Bianca Sanon        	Kansas State	Maria Panaite       	6-2, 6-2
20140228	465344	441972	H	   2	Penn	Jaime Yapp-Shing    	Drexel	Nicole Pivonka      	6-3, 0-6, 10-7
20140228	412871	438812	H	   2	Princeton	Emily Hahn          	Stony Brook	Adey Osabouhien     	6-0, 6-1
20140228	412871	426733	H	   2	Princeton	Emily Hahn          	Seton Hall	Hannah Liljkevist   	6-4, 6-0
20140228	442138	451159	H	   2	Buffalo	Miranda Podlas      	Colgate	Kelsey Shea         	6-0, 6-1
20140228	386146	466150	A	   2	Drake	Mariel Ante         	Nebraska	Izabella Zgierska   	6-1, 6-4
20140228	432232	420906	H	   2	Northern Iowa	Erica Medlin        	Upper Iowa	Saki Kawabata       	6-3, 6-1
20140228	461272	448886	H	   2	Boise State	Teal Vosburgh       	Idaho	Almudena Sanz       	6-2, 6-3
20140228	384698	390781	A	   2	Colorado	Alexandra Aiello    	New Mexico	Lizette Blankers    	6-3, 6-1
20140228	407069	446590	A	   2	Auburn	Emily Flickinger    	Ole Miss	Caroline Rohde-Moe  	6-1, 7-6(3)
20140228	434717	401426	H	   2	Florida	Brianna Morgan      	Texas A&M	Ines Deheza         	7-5, 6-3
20140228	455876	450234	H	   2	Kentucky	Aldila Sutjiadi     	LSU	Noel Scott          	6-2, 6-3
20140228	415741	399155	A	   2	Missouri	Kelli Hine          	Wofford	Audrey Coventry     	6-1, 6-0
20140228	442447	415741	H	   2	South Carolina	Katerina Popova     	Missouri	Kelli Hine          	6-4, 6-3
20140228	385397	417109	H	   2	Vanderbilt	Frances Altick      	Arkansas	Shannon Hudson      	6-0, 6-0
20140228	396228	428013	H	   2	Chattanooga	Kaylene Chadwell    	UAB	Amy Lowther         	4-2, inj default
20140228	440349	390659	H	   2	Mercer	Lucie Payrat        	Florida A&M	Shantal Blackwood   	5-7 6-4 6-4
20140228	410989	419546	H	   2	Stephen F. Austin	Malena Gordo        	New Mexico State	Chloe Jolliff       	6-4 6-4
20140228	420360	456768	N	   2	Alcorn State	Sumeera Kamil       	Alabama A&M	Jessica Taylor      	6-1 6-2
20140228	420360	394362	N	   2	Alcorn State	Sumeera Kamil       	Arkansas Pine Bluff	Maria Cabane        	3-6 6-3 (10-6)
20140228	394362	401798	N	   2	Arkansas Pine Bluff	Maria Cabane        	Alabama State	Pauline Denis       	7-6, 6-3
20140228	466577	419655	H	   2	Jackson State	Anastasiia Zviahintesva	Grambling	Joy Jones           	6-0,6-3
20140228	413746	466577	A	   2	Prairie View A&M	Brittany Harrell    	Jackson State	Anastasiia Zviahintesva	4-6, 7-5, 1-0(9)
20140228	434421	456768	H	   2	Southern	Gabrielle Moore     	Alabama A&M	Jessica Taylor      	8-3
20140228	434421	419655	N	   2	Southern	Gabrielle Moore     	Grambling	Joy Jones           	6-0, 6-1
20140228	425085	424357	H	   2	Appalachian State	Mackenzie Lasure    	East Carolina	Nicole Laduca       	6-3 6-2
20140228	436728	420239	A	   2	South Alabama	Emily Newton        	Bethune Cookman	Chinatsu Kajiwara   	4-6, 6-0, 6-2
20140228	441939	432396	H	   2	Army	Carolyn Pitman      	NJIT	Natalia Melibeu     	6-1 6-0
20140228	443179	389122	A	   2	Grand Canyon	Tatum Prudhomme     	UTRGV	Wanda Beguelin      	6-0, 3-6, 6-3
20140228	444137	402516	H	   2	UTRGV	Mariana Ranzahuer   	Texas A&M-Kingsville	Marija Dimitrovska  	6-3, 6-3
20140228	438036	437754	A	   3	Cincinnati	Caitlin OGara       	Connecticut	Lucy Nutting        	7-5, 6-4
20140228	456500	464929	A	   3	East Carolina	Melis Tanik         	Appalachian State	Gabrielle Wreder    	6-2 6-2
20140228	402527	438786	A	   3	Binghamton	Annie Dimuro        	Niagara	Maria Ortiz         	6-2,6-2
20140228	458321	453695	H	   3	Dayton	Alex Townsend       	Northern Kentucky	Nicole Soutar       	6-1, 6-3
20140228	454601	427510	H	   3	Duquesne	Zuzanna Stelmaszak  	George Mason	Andrea Londen       	6-2, 6-3
20140228	411799	400090	N	   3	UMass	Arielle Griffin     	Fordham	Angelika Dabu       	7-6 (1) 6-4
20140228	412386	430288	H	   3	Clemson	Beatrice Gumulya    	N.C. State	Nicole Martinez     	6-4, 6-1
20140228	429554	421192	H	   3	Duke	Hanna Mar           	Notre Dame	Jennifer Kellner    	6-3, 6-4
20140228	461320	431052	H	   3	Florida State	Mia Vriens          	Georgia Tech	Rasheeda McAdoo     	6-3, 6-0
20140228	445652	460197	H	   3	Miami (FL)	Clementina Riobueno 	Boston College	Katya Vasilyev      	6-3, 6-4
20140228	442954	386774	H	   3	North Carolina	Caroline Price      	Wake Forest	Samantha Asch       	6-0, 6-4
20140228	436640	463980	H	   3	Syracuse	Rhiann Newborn      	Virginia Tech	Kelly Williford     	6-0, 4-6, 7-6 (11)
20140228	397981	456329	A	   3	USC Upstate	Taylor Cohen        	Charlotte	Natsuko Takayanagi  	6-2, 7-5
20140228	409258	392376	H	   3	Iowa State	Ana Gasparovic      	South Dakota	Dragana Brankovic   	6-2, 6-1
20140228	409258	457190	H	   3	Iowa State	Ana Gasparovic      	Bradley	Ashley Thai         	6-2, 7-6
20140228	428136	423292	H	   3	Kansas	Maria Belen Ludueña 	Wichita State	Lucia Kovalova      	6-2, 4-6, 6-4
20140228	422443	401015	A	   3	DePaul	Jasmin Kling        	Northern Illinois	Arantza De La Torre 	6-2,6-0
20140228	394299	393432	A	   3	Idaho	Galina Bykova       	Boise State	Anissa Bryant-Swift 	6-2, 1-6, 6-0
20140228	449135	407562	N	   3	Sacramento State	Daria Savchenko     	TCU	Mimi Fotopoulos     	6-5, wr
20140228	454078	405716	A	   3	Charleston Southern	Gabriela Srodowski  	Columbia (SC)	Raven Fair          	6-0, 6-0
20140228	428371	438072	A	   3	Maryland	Welma Luus          	Pittsburgh	Lolade Ogungbesan   	6-1, 7-5
20140228	434547	414420	H	   3	Middle Tennessee	Nayara Moraes       	Tennessee State	Victoria Haynes     	6-1, 6-0
20140228	421723	398707	A	   3	UAB	Pardis Kianoush     	Chattanooga	Kelsey Coots        	6-3, 6-4
20140228	425545	454789	N	   3	UTEP	Marie Leblond       	Sam Houston	Kayla Stevenson     	6-2, 6-3
20140228	394109	465197	A	   3	Cleveland State	Alexandra Bush      	Saint Louis	Natalia Yacaman     	6-2, 2-6, 10-4
20140228	419001	420004	H	   3	Columbia	Tina Jiang          	Kansas State	Palma Juhasz        	6-2, 6-2
20140228	402727	446886	H	   3	Penn	Stephanie Do        	Drexel	Marcela Rosales     	6-2, 6-2
20140228	435337	442509	H	   3	Princeton	Amanda Muliawan     	Seton Hall	Rocio Portela-Berrios	6-1, 6-2
