date	winnerId	loserId	where	roundPos	team1	winner	team2	loser	score
20190724	384058	497203	N	  QF	Grossmont	Lirone Abecassis    	Riverside	Gleb Mityurin       	6-4, 6-4
20190724	497203	498452	N	  16	Riverside	Gleb Mityurin       	San Diego City	Colin Palmer        	6-0, 6-1
20190724	501782	397524	N	  16	Cerritos	Jan Simon           	Riverside	Miles Clark         	2-6, 6-1, 1-1
20190724	497203	439509	N	  32	Riverside	Gleb Mityurin       	Chabot	Jay Pandit          	6-0, 3-0
20190724	397524	434818	N	  32	Riverside	Miles Clark         	Folsom Lake	Stephen Morley      	6-3, 6-3
20190724	497203	465817	N	  64	Riverside	Gleb Mityurin       	Mt. San Jacinto	Lohan Zaccarias     	6-1, 6-0
20190724	397524	498456	N	  64	Riverside	Miles Clark         	San Diego City	Jonathan Park       	6-2, 6-2
20190824	486412	481833	A	   1	Indiana East	Manuel Roman        	Miami Middletown	Antonio Williams    	6-2, 6-1
20190824	486413	469007	A	   2	Indiana East	Francisco Perez     	Miami Middletown	Dalton Campbell     	6-0, 6-1
20190824	486406	511343	A	   3	Indiana East	Ian Dillman         	Miami Middletown	Jagan Wilkerson     	6-3, 6-1
20190824	486409	472540	A	   4	Indiana East	Nick Mustin         	Miami Middletown	Hunter Hall         	6-1, 6-0
20190824	511285	511344	A	   5	Indiana East	Mitchell Kuhlenbeck 	Miami Middletown	Brad Ng             	6-0, 6-0
20190827	511487	511470	H	   1	Marian (IN)	Dmitrii Voshchenkov 	St. Francis (IN)	Tannon Dishman      	6-0, 6-1
20190827	490573	480168	H	   2	Marian (IN)	Diogo Jesus         	St. Francis (IN)	Jay Stanchin        	6-4, 6-0
20190827	401443	469412	H	   3	Marian (IN)	Ian Deiters         	St. Francis (IN)	Tyler Chrislieb     	6-0, 6-0
20190827	509806	511469	H	   4	Marian (IN)	Armando Lopez Chavez	St. Francis (IN)	Austin Schofield    	6-0, 6-1
20190827	509804	471792	H	   6	Marian (IN)	Jacob Wittenbaum    	St. Francis (IN)	Reggie Garrett      	6-2, 6-4
20190827	454542	509449	H	   1	Indiana Wesleyan	Eli Steiner         	Taylor	David Sandi         	6-2, 6-4
20190827	492313	509447	H	   2	Indiana Wesleyan	Grant Esposito      	Taylor	Chase Bremner       	6-2, 6-1
20190827	511736	418348	H	   3	Indiana Wesleyan	Isaac Steiner       	Taylor	Christen Jacquottet 	6-4, 6-1
20190827	511711	427294	H	   4	Indiana Wesleyan	Mariano Jalif       	Taylor	Salvador Lo Cascio  	6-3, 3-6, 9-5
20190827	511717	400329	H	   5	Indiana Wesleyan	Alex Serwatka       	Taylor	Andre Danelli       	6-3, 6-0
20190827	487536	396761	H	   6	Indiana Wesleyan	Riley Worland       	Taylor	Victor Cheng        	6-1, 6-0
20190827	495203	406273	A	   1	Grace (IN)	Pavle Popovic       	Bethel (IN)	Evan Ferguson       	6-0, 6-0
20190827	495094	512612	A	   2	Grace (IN)	Maximilano Rozas    	Bethel (IN)	Evan Roth           	6-0, 6-2
20190827	511801	451264	A	   3	Grace (IN)	Ramiro Candia       	Bethel (IN)	Brian Shembarger    	6-3, 6-2
20190827	511803	462412	A	   4	Grace (IN)	Milan Savic         	Bethel (IN)	Jeryl Weaver        	6-1, 6-1
20190827	524221	512617	A	   5	Grace (IN)	Mauricio Corty      	Bethel (IN)	Noah Laman          	6-0, 6-0
20190827	511805	512614	A	   6	Grace (IN)	Kye Barrett         	Bethel (IN)	Brandon Eash        	6-2, 6-1
20190828	495231	475733	A	   1	Goshen	Filippo Bigardi     	MVNU	Danny Mayotte       	6-4, 6-2
20190828	397403	514575	A	   2	Goshen	Juan Miguel Ciudad  	MVNU	Drew Jackson        	6-1, 6-2
20190828	495230	514576	A	   3	Goshen	Danny Boussom       	MVNU	Justin Haggard      	6-0, 6-3
20190828	495149	471838	A	   4	Goshen	Josh Friesen        	MVNU	Logan Gauthier      	6-1, 6-0
20190828	512010	514577	A	   5	Goshen	Hermes Flores       	MVNU	Hunter Winey        	6-0, 6-1
20190828	512009	473298	A	   6	Goshen	Wes Beck            	MVNU	Anthony Howard      	6-4, 6-1
20190828	491130	428713	H	   1	Huntington	Illia Turaba        	Spring Arbor	Ryan Maclean        	7-6, 6-1
20190828	509785	444783	H	   2	Huntington	Mateo Ameller       	Spring Arbor	Alex Reinbold       	6-2, 6-2
20190828	433983	491129	A	   3	Spring Arbor	Connor Mogle        	Huntington	Sebastian Salas     	3-6, 6-1, 6-3
20190828	509784	404946	H	   4	Huntington	Diego Tapia         	Spring Arbor	Jonah Engle         	6-1, 4-6, 6-4
20190828	451251	402837	H	   5	Huntington	Jacob Shelton       	Spring Arbor	Patrick Doerr       	6-7, 6-4, 6-1
20190828	464877	492343	H	   6	Huntington	Brody Worl          	Spring Arbor	Brendan Bentley     	4-6, 6-2, 6-2
20190829	513390	509449	A	   1	Lawrence Tech	Alex Tamarro        	Taylor	David Sandi         	6-2, 6-2
20190829	509447	494293	H	   2	Taylor	Chase Bremner       	Lawrence Tech	Alex Fernandez-Rajal	6-3, 6-1
20190829	418348	513225	H	   3	Taylor	Christen Jacquottet 	Lawrence Tech	Pedro Orellana      	6-0, 6-2
20190829	427294	513223	H	   4	Taylor	Salvador Lo Cascio  	Lawrence Tech	William Burgess     	6-1, 7-5
20190829	495094	448197	H	   1	Grace (IN)	Maximilano Rozas    	Northwestern Ohio	Marcos Salazar      	6-3, 6-2
20190829	509271	495203	A	   2	Northwestern Ohio	Sergio Conde Alba   	Grace (IN)	Pavle Popovic       	3-6, 5-7
20190829	511800	509269	H	   3	Grace (IN)	Fabricio Galvan     	Northwestern Ohio	Malik Omarkhanov    	6-1, 6-3
20190829	511801	420531	H	   4	Grace (IN)	Ramiro Candia       	Northwestern Ohio	Lars Kaplusch       	2-6, 6-2, 6-4
20190829	485658	511803	A	   5	Northwestern Ohio	David Ayguavives    	Grace (IN)	Milan Savic         	7-6(4), 3-6, 2-6
20190829	524221	424650	H	   6	Grace (IN)	Mauricio Corty      	Northwestern Ohio	Diogo Lamy          	1-6, 6-3, 6-2
20190829	495231	481255	A	   1	Goshen	Filippo Bigardi     	Judson (IL)	Christopher Veltkamp	6-3, 6-2
20190829	474128	397403	H	   2	Judson (IL)	Christopher Kerswell	Goshen	Juan Miguel Ciudad  	6-1, 6-2
20190829	495230	497998	A	   3	Goshen	Danny Boussom       	Judson (IL)	Augustin Lestelle   	6-1, 6-2
20190829	473470	495229	H	   4	Judson (IL)	Dimitri Ingrassia   	Goshen	Martim Cafe         	7-6(4), 7-5
20190829	495149	510820	A	   5	Goshen	Josh Friesen        	Judson (IL)	Hugo La Hei         	6-2, 3-6, 7-6(4)
