date	where	score	winner	loser
20200905	N	5-2	Huntington	Goshen
20200905	A	8-1	Huntington	St. Francis (IN)
20200905	H	7-0	Grace (IN)	Bethel (IN)
20200905	N	7-0	Indiana Wesleyan	MVNU
20200905	A	7-0	Indiana Wesleyan	Spring Arbor
20200905	H	6-1	Spring Arbor	MVNU
20200905	A	5-2	Cowley County (KS)	Southwestern (KS)
20200908	N	7-0	Grace (IN)	St. Francis (IN)
20200908	H	7-0	Indiana Wesleyan	Bethel (IN)
20200908	H	7-0	Indiana Wesleyan	Goshen
20200910	A	7-0	Grace (IN)	Spring Arbor
20200910	H	7-0	Spring Arbor	St. Francis (IN)
20200911	A	4-0	Judson (IL)	Goshen
20200912	H	7-0	Huntington	Bethel (IN)
20200912	H	6-1	Huntington	Spring Arbor
20200912	H	7-0	Marian (IN)	St. Francis (IN)
20200912	A	5-1	Grace (IN)	Goshen
20200912	N	5-0	Grace (IN)	MVNU
20200912	A	7-0	Indiana Wesleyan	Marian (IN)
20200912	N	7-0	Indiana Wesleyan	St. Francis (IN)
20200912	N	7-0	Spring Arbor	Bethel (IN)
20200912	H	4-3	Concordia (NE)	William Jewell
20200913	N	0-0	Olivet	Trine
20200914	N	7-0	Marian (IN)	Bethel (IN)
20200914	H	5-2	Grace (IN)	Marian (IN)
20200916	A	6-1	Marian (IN)	Goshen
20200916	N	5-2	Marian (IN)	Spring Arbor
20200916	H	4-3	Bethel (IN)	MVNU
20200916	N	5-2	Grace (IN)	Huntington
20200916	H	7-0	Indiana Wesleyan	Huntington
20200916	H	6-1	Indiana Wesleyan	Grace (IN)
20200916	A	6-1	Spring Arbor	Goshen
20200916	A	9-0	Cornerstone	Calvin
20200918	A	5-4	Trine	Calvin
20200918	H	4-0	Grace (IN)	Judson (IL)
20200918	H	4-1	Indiana Tech	Judson (IL)
20200919	H	6-3	Wartburg	St. Ambrose
20200919	A	7-0	Huntington	MVNU
20200919	N	4-3	Marian (IN)	Huntington
20200919	A	6-1	Marian (IN)	MVNU
20200919	N	4-0	Grace (IN)	Indiana Southeast
20200919	H	4-0	Indiana Wesleyan	Judson (IL)
20200919	A	8-1	Iowa Central	Wartburg
20200921	H	7-2	Cornell College	Dubuque
20200921	H	7-0	Grace (IN)	Trine
20200922	A	9-0	Trine	Manchester
20200922	H	6-1	Huntington	Spring Arbor
20200922	H	6-1	Marian (IN)	Goshen
20200922	H	7-0	Grace (IN)	Bethel (IN)
20200922	H	7-0	Indiana Wesleyan	MVNU
20200924	A	6-3	Cornell College	Simpson (IA)
20200924	H	4-0	Grace (IN)	Marian (IN)
20200924	H	4-0	Indiana Wesleyan	Huntington
20200925	H	9-0	Calvin	Concordia (MI)
20200926	A	5-4	Manchester	Trine
20200926	A	4-3	Cornell College	St. Ambrose
20200926	H	4-0	Indiana Wesleyan	Grace (IN)
20200927	H	8-1	Trine	Adrian
20200928	H	6-1	Morningside	Grand View
20200929	A	4-3	Trine	Bethel (IN)
20201002	A	5-4	Cornell College	Wartburg
20201002	A	6-0	Iowa Central	Grand View
20201002	A	5-1	Iowa Central	Grand View
20201003	H	6-3	Adrian	Concordia (MI)
20201003	A	5-1	St. Ambrose	Dubuque
20201003	A	4-3	Morningside	Tabor
20201003	H	6-1	Tabor	Morningside
20201004	A	5-2	McKendree	Quincy
20201006	A	9-0	Bethel (IN)	Manchester
20201007	H	7-0	Holy Cross (IN)	Bethel (IN)
20201009	H	6-3	Hardin-Simmons	Dallas Baptist
20201009	N	4-1	Holy Cross (IN)	Indiana Southeast
20201009	H	7-0	Indiana Wesleyan	Holy Cross (IN)
20201010	H	7-0	Indiana Wesleyan	Indiana Southeast
20201011	H	7-0	Bethel (IN)	Adrian
20201016	A	0-0	Tabor	Baker
20201031	H	5-2	Army	Coast Guard
20201031	H	7-0	Army	Coast Guard
20210113	H	7-0	Oklahoma	Incarnate Word
20210114	H	7-0	SMU	Prairie View A&M
20210114	H	7-0	SMU	Prairie View A&M
20210114	H	6-1	Oklahoma State	Wichita State
20210115	H	6-1	Baylor	Abilene Christian
20210115	H	7-0	Baylor	Lamar
20210115	H	7-0	Oklahoma State	Tulsa
20210115	H	7-0	Texas	Louisiana
20210115	A	0-0	Gardner-Webb	Lenoir-Rhyne
20210115	H	6-1	Arkansas	Omaha
20210115	H	7-0	Arkansas	Omaha
20210115	H	7-0	Mississippi State	Bellarmine
20210115	H	7-0	Mississippi State	North Alabama
20210116	H	6-1	Wichita State	Omaha
20210116	H	7-0	Wichita State	Oral Roberts
20210116	H	7-0	Clemson	Chattanooga
20210116	H	6-1	Clemson	Wofford
20210116	H	7-0	Texas	SMU
20210116	A	0-0	Gardner-Webb	Wake Forest
20210116	H	6-1	Charlotte	Gardner-Webb
20210116	H	5-2	UTSA	Rice
20210116	H	6-1	Alabama	Samford
20210116	H	5-2	Alabama	Samford
20210116	H	7-0	Florida	Florida Atlantic
20210116	H	7-0	LSU	Alcorn State
20210116	H	5-2	Tennessee	Oklahoma
20210116	H	7-0	Tennessee	Tennessee Tech
20210116	A	5-2	Furman	Davidson
20210116	H	6-1	BYU	Grand Canyon
20210116	H	7-0	Gonzaga	Whitworth
20210116	H	4-3	Trinity (TX)	Rice
20210117	H	7-0	Memphis	Bellarmine
20210117	H	7-0	Florida State	Mercer
20210117	H	5-0	Florida State	North Florida
20210117	H	7-0	Virginia	Liberty
20210117	A	4-1	TCU	Tulsa
20210117	H	5-0	Texas Tech	Abilene Christian
20210117	H	7-0	Texas Tech	Abilene Christian
20210117	H	7-0	Utah	Grand Canyon
20210117	H	6-1	Auburn	Samford
20210117	H	7-0	Alabama	North Alabama
20210117	H	7-0	Alabama	North Alabama
20210117	H	6-1	Florida	South Florida
20210117	H	7-0	LSU	Alcorn State
20210117	H	7-0	Furman	Gardner-Webb
20210118	H	7-0	Notre Dame	Illinois State
20210118	H	6-1	Notre Dame	Illinois State
20210118	H	5-2	Liberty	Elon
20210118	H	7-0	Baylor	SMU
20210118	H	7-0	Baylor	SMU
20210118	H	6-1	Middle Tennessee	Louisiana
20210118	H	5-2	California	St. Mary's (CA)
20210119	H	7-0	Arizona	Grand Canyon
20210119	H	6-1	Arizona	Grand Canyon
20210119	A	4-3	Texas A&M	Ole Miss
20210119	H	7-0	Tennessee	ETSU
20210120	H	6-1	Notre Dame	Ball State
20210120	A	4-3	Ball State	Notre Dame
20210120	H	4-3	LSU	Louisiana
20210120	A	4-0	A&M-Corpus Christi	Prairie View A&M
20210120	A	6-1	A&M-Corpus Christi	Prairie View A&M
20210121	H	6-1	Tulane	Alcorn State
20210121	H	6-1	Tulane	Alcorn State
20210121	A	4-3	Troy	Samford
20210122	H	5-2	SMU	Utah
20210122	H	4-0	Tulane	UTSA
20210122	H	4-2	Florida State	South Alabama
20210122	H	4-2	N.C. State	Alabama
20210122	N	4-0	Virginia	Iowa
20210122	H	4-1	Texas	Liberty
20210122	H	4-0	Ohio State	Middle Tennessee
20210122	H	6-1	Boise State	Montana
20210122	N	4-2	Florida	Arizona
20210122	H	7-0	Mississippi State	Louisiana
20210122	A	4-3	South Carolina	Charlotte
20210122	N	4-2	Tennessee	Ole Miss
20210122	H	7-0	Georgia	Mercer
20210122	A	5-2	Omaha	Marquette
20210122	A	0-0	OLLU (TX)	Incarnate Word
20210123	A	4-3	South Florida	Clemson
20210123	A	4-3	Wichita State	SMU
20210123	H	7-0	Notre Dame	Cleveland State
20210123	A	4-2	Virginia	Ohio State
20210123	A	4-0	Baylor	Michigan
20210123	N	4-0	Oklahoma	Wake Forest
20210123	H	5-0	TCU	Denver
20210123	H	4-3	Texas	Florida
20210123	N	6-1	Montana	Grand Canyon
20210123	A	5-2	Florida Atlantic	Florida Gulf Coast
20210123	N	4-0	Middle Tennessee	Iowa
20210123	H	5-2	Utah State	Idaho State
20210123	N	4-0	Arizona	Liberty
20210123	N	4-0	UCLA	California
20210123	N	6-1	Utah	Texas Arlington
20210123	N	4-0	Texas A&M	Pepperdine
20210123	N	7-0	Auburn	Old Dominion
20210123	H	5-2	LSU	UTSA
20210123	N	4-1	Ole Miss	Alabama
20210123	A	4-1	Tennessee	N.C. State
20210123	H	7-0	Kentucky	Illinois State
20210123	H	4-0	Kentucky	Illinois State
20210123	A	6-1	Omaha	Marquette
20210123	H	7-0	Troy	Auburn Montgomery
20210123	H	5-2	Troy	Auburn Montgomery
20210123	H	6-1	BYU	Weber State
20210123	H	7-0	Gonzaga	Eastern Washington
