date	where	score	winner	loser
20180830	H	7-0	Valparaiso	Grace (IN)
20180830	A	9-0	Michigan Tech	Lawrence Tech
20180831	A	5-2	NYIT	Merrimack
20180831	H	9-0	Wheaton (IL)	Edgewood
20180831	H	6-3	Colby-Sawyer	Gordon (MA)
20180831	H	9-0	Cornell College	Simpson (IA)
20180831	N	6-2	Ripon	Lakeland
20180831	H	6-3	Concordia (WI)	Carroll (WI)
20180831	H	5-0	Oneonta	Alfred
20180831	A	9-0	UW La Crosse	Lawrence
20180831	H	7-2	UW Whitewater	UW Eau Claire
20180901	A	7-0	NYIT	SNHU
20180901	N	6-3	Central (IA)	Dubuque
20180901	A	6-3	Dubuque	Millikin
20180901	N	8-1	Loras	MSOE
20180901	N	5-4	Luther (IA)	Edgewood
20180901	A	7-2	Simpson (IA)	Monmouth (IL)
20180901	A	7-2	Simpson (IA)	Knox (IL)
20180901	A	9-0	Wartburg	Monmouth (IL)
20180901	A	7-2	Wartburg	Cornell College
20180901	A	9-0	Salve Regina	St. Joseph (CT)
20180901	H	8-1	Millikin	Illinois College
20180901	H	9-0	North Central (IL)	Aurora
20180901	H	9-0	North Central (IL)	Central (IA)
20180901	H	6-0	North Park	Alverno
20180901	H	9-0	Wheaton (IL)	Luther (IA)
20180901	A	9-0	JWU Providence	Curry
20180901	H	5-4	Plymouth State	UMass Dartmouth
20180901	A	9-0	RIT	Brockport
20180901	N	6-0	Lake Forest	Loras
20180901	A	6-0	Lake Forest	MSOE
20180901	A	9-0	Cowley County (KS)	Southwestern (KS)
20180902	H	9-0	Oswego	Elmira
20180903	A	9-0	Endicott	Bridgewater State
20180903	H	9-0	Gordon (MA)	Simmons
20180903	H	7-2	JWU Providence	WNE
20180904	A	6-1	Jefferson	St. Thomas Aquinas
20180904	A	7-0	Eastern Nazarene	Lesley
20180904	H	5-4	Plymouth State	Franklin Pierce
20180904	H	9-0	Concordia (WI)	MSOE
20180905	A	7-0	Goldey-Beacom	Millersville
20180905	A	5-4	SNHU	Colby-Sawyer
20180905	A	5-4	SNHU	Colby-Sawyer
20180905	H	4-3	New Haven	Post
20180905	H	7-2	Coe College	Cornell College
20180905	H	8-1	Dubuque	Knox (IL)
20180905	H	7-2	Augustana (IL)	North Central (IL)
20180905	H	7-2	Alfred	Elmira
20180905	A	8-1	Nazareth	Houghton
20180905	H	9-0	Marian (WI)	Lawrence
20180905	H	8-1	TCNJ	Delaware State
20180905	N	9-0	Ohio Northern	Concordia (MI)
20180905	A	9-0	Ohio Northern	Defiance
20180906	A	7-2	Ripon	Lawrence
20180906	H	9-0	UW Oshkosh	Marian (WI)
20180907	H	7-0	NYIT	St. Thomas Aquinas
20180907	A	5-2	Roberts Wesleyan	St. Michael's
20180907	A	7-0	District of Columbia	Molloy
20180907	A	7-2	North Central (IL)	Millikin
20180907	A	7-2	Wheaton (IL)	Carthage
20180907	A	8-1	UW Oshkosh	St. Norbert
20180908	H	4-3	Merrimack	SNHU
20180908	H	4-3	LIU Post	St. Thomas Aquinas
20180908	H	6-1	NYIT	Wilmington (DE)
20180908	H	5-2	Queens (NY)	District of Columbia
20180908	N	5-2	Purdue Northwest	Judson (IL)
20180908	A	4-3	Bluefield State	Seton Hill
20180908	A	8-1	Fort Hays State	Hastings
20180908	H	7-0	Stonehill	St. Michael's
20180908	A	4-1	Adelphi	Concordia (NY)
20180908	H	6-1	Millersville	Daemen
20180908	A	9-0	Coe College	Dubuque
20180908	A	8-1	Coe College	Loras
20180908	H	8-1	Wartburg	Minnesota State
20180908	H	9-0	Endicott	JWU Providence
20180908	A	9-0	Augustana (IL)	Millikin
20180908	A	8-1	North Central (IL)	Illinois Wesleyan
20180908	A	8-1	Wheaton (IL)	Carroll (WI)
20180908	A	9-0	Alfred	Hartwick
20180908	A	8-0	Houghton	Sage Colleges
20180908	H	9-0	Colby-Sawyer	Suffolk (MA)
20180908	A	7-2	Eastern Nazarene	Regis (MA)
20180908	H	9-0	Stevens	Utica
20180908	A	9-0	Cornell College	Lawrence
20180908	A	8-1	Cornell College	Ripon
20180908	A	9-0	Grinnell	Lawrence
20180908	A	9-0	Grinnell	Ripon
20180908	A	9-0	Lake Forest	Illinois College
20180908	H	7-0	Lake Forest	Knox (IL)
20180908	H	9-0	Concordia (WI)	Aurora
20180908	H	5-4	Concordia (WI)	Illinois Tech
20180908	A	8-1	Edgewood	MSOE
20180908	A	9-0	Illinois Tech	Wisconsin Lutheran
20180908	H	6-3	Ohio Wesleyan	Transylvania
20180908	A	6-3	Clark (MA)	Simmons
20180908	A	9-0	Franciscan	Messiah
20180909	H	7-0	Merrimack	American International
20180909	H	7-0	Queens (NY)	Post
20180909	A	9-0	Roberts Wesleyan	Brockport
20180909	N	4-3	Ashland	Fairmont State
20180909	H	5-0	Purdue Northwest	Marian (WI)
20180909	A	4-3	Bluefield State	Virginia Wise
20180909	H	7-0	Millersville	Holy Family
20180909	A	9-0	Carthage	North Park
20180909	A	7-2	Cornell College	St. Norbert
20180909	H	9-0	Lake Forest	Monmouth (IL)
20180909	N	8-1	Otterbein	Transylvania
20180909	H	6-3	St. Vincent	Juniata
20180909	H	5-1	Fredonia	Houghton
20180909	H	9-0	UW La Crosse	Luther (IA)
20180910	A	8-1	St. Anselm	Plymouth State
20180911	A	7-0	Roberts Wesleyan	Daemen
20180911	H	6-0	Washburn-Topeka	Cowley County (KS)
20180911	A	7-0	Anderson (SC)	Converse
20180911	A	8-1	Luther (IA)	Dubuque
20180911	A	8-1	Luther (IA)	Loras
20180911	A	7-2	Wartburg	Coe College
20180911	A	7-2	Elmhurst	Roosevelt
20180911	A	9-0	JWU Providence	Bridgewater State
20180911	A	9-0	Husson	Thomas (ME)
20180911	N	9-0	Geneseo	Oswego
20180911	N	6-3	Earlham	Ohio Christian
20180912	A	7-0	Concordia (NY)	Molloy
20180912	H	6-1	NYIT	Jefferson
20180912	H	6-1	Walsh	Ashland
20180912	H	7-2	North Central (IL)	Elmhurst
20180913	A	6-1	Wesleyan (WV)	Cal U (PA)
