date	where	score	winner	loser
20081013	A	6-3	La Salle	Jefferson
20081021	H	5-2	Drexel	Rider
20081024	H	5-2	Drexel	St. Francis (NY)
20090110	A	7-0	Eastern Washington	Seattle
20090110	H	7-0	Washington	Eastern Washington
20090115	A	6-1	California	Hawaii
20090116	H	5-0	VCU	Georgetown
20090116	H	5-0	VCU	Richmond
20090116	N	4-1	Temple	James Madison
20090116	A	6-1	Radford	Florida Gulf Coast
20090116	H	7-0	Illinois	Ball State
20090116	H	6-1	Illinois	Toledo
20090116	H	6-1	Rice	Memphis
20090116	H	7-0	Rice	UTSA
20090116	H	7-0	Oregon	Northern Arizona
20090116	H	7-0	Oregon	Portland State
20090116	H	6-1	Utah	Eastern Washington
20090116	H	7-0	Washington	Portland
20090116	H	7-0	BYU	Utah State
20090116	H	6-1	BYU	Weber State
20090116	A	4-3	Pepperdine	Notre Dame
20090117	H	4-1	VCU	James Madison
20090117	H	4-0	VCU	Temple
20090117	A	5-2	Eastern Washington	Utah State
20090117	H	6-1	Illinois	Pepperdine
20090117	H	6-1	Hawaii	San Diego State
20090117	H	7-0	South Carolina	Troy
20090117	H	6-1	South Carolina	Wofford
20090117	H	4-3	Portland	San Francisco
20090118	H	5-0	VCU	Longwood
20090118	A	4-3	Texas	Tulsa
20090118	H	1-8	Cal Poly	Concordia (CA)
20090118	N	4-3	UC Riverside	Air Force
20090118	H	7-0	Rice	Lamar
20090118	H	7-0	Rice	Prairie View A&M
20090118	H	5-2	Boise State	Oregon
20090118	H	7-0	Washington	San Francisco
20090118	H	5-2	Portland	Northern Arizona
20090119	H	5-2	South Florida	Florida State
20090119	H	7-0	Brown	Bryant
20090119	H	6-1	California	St. Mary's (CA)
20090119	H	5-2	Utah	Utah State
20090119	H	7-0	Utah	Weber State
20090121	H	7-0	Ohio State	Butler
20090121	H	7-0	Ohio State	Xavier
20090121	H	5-2	Rice	TCU
20090121	H	6-1	Pepperdine	UC Irvine
20090122	A	4-3	Baylor	SMU
20090123	N	4-3	Radford	A&M-Corpus Christi
20090123	H	4-3	New Mexico	Indiana
20090123	H	5-1	Arizona	Northern Arizona
20090123	H	5-2	Florida	Furman
20090123	H	7-0	Denver	Eastern Washington
20090123	A	4-3	East Carolina	George Washington
20090124	H	6-1	Central Florida	Florida Gulf Coast
20090124	A	7-0	Notre Dame	William & Mary
20090124	H	7-0	Oklahoma	UTRGV
20090124	A	4-2	Texas	Florida State
20090124	A	5-2	Eastern Washington	Air Force
20090124	A	6-1	Idaho	Lewis-Clark (ID)
20090124	N	7-0	Idaho	Whitman
20090124	H	6-1	Michigan	Ball State
20090124	H	6-1	Michigan	Western Michigan
20090124	H	7-0	Northwestern	IUPUI
20090124	H	6-1	Wisconsin	Butler
20090124	H	4-3	Wisconsin	Green Bay
20090124	N	5-1	UNC Wilmington	Wright State
20090124	A	4-2	Rice	Florida Atlantic
20090124	H	5-0	Brown	Boston University
20090124	H	7-0	Brown	Davidson
20090124	H	7-0	Penn	Drexel
20090124	A	6-1	Buffalo	Bryant
20090124	A	6-1	Boise State	UC Santa Barbara
20090124	N	4-3	Nevada	Northern Arizona
20090124	H	6-1	UNLV	UMKC
20090124	H	7-0	UNLV	Weber State
20090124	H	5-2	Oregon	UTSA
20090124	H	7-0	USC	Loyola Marymount
20090124	H	7-0	USC	Sacramento State
20090124	H	5-2	Alabama	Furman
20090124	H	6-1	Alabama	Troy
20090124	H	5-2	South Carolina	Georgia Tech
20090124	A	6-1	Tennessee	ETSU
20090124	H	5-0	Tennessee	Tennessee Wesleyan
20090124	A	4-3	BYU	UC Irvine
20090124	H	7-0	Pepperdine	Cal Poly
20090125	A	7-0	Eastern Washington	Northern Colorado
20090125	A	7-0	Sacramento State	Loyola Marymount
20090125	H	7-0	Northwestern	Illinois - Chicago
20090125	A	6-1	Ohio State	Washington
20090125	H	5-2	Wisconsin	Northern Illinois
20090125	H	7-0	Wisconsin	UW Whitewater
20090125	A	4-3	Rice	Miami (FL)
20090125	H	6-1	Brown	Buffalo
20090125	H	5-0	Brown	Lehigh
20090125	H	4-3	Western Michigan	Xavier
20090125	A	6-1	Boise State	Pepperdine
20090125	H	4-2	New Mexico	A&M-Corpus Christi
20090125	H	6-1	Arizona	Nevada
20090125	H	5-2	Texas A&M	Radford
20090125	H	7-0	Florida	Baylor
20090125	A	7-0	Denver	Air Force
20090125	H	5-0	Portland	UTSA
20090127	H	7-0	VCU	Princeton
20090127	A	6-1	Wisconsin	Marquette
20090127	H	7-0	Stanford	Sacramento State
20090127	H	6-1	USC	San Diego
20090127	H	7-0	Georgia	Clemson
20090128	H	7-0	Penn	Temple
20090128	H	6-1	Fresno State	Cal Poly
20090128	H	5-2	Gonzaga	Lewis-Clark (ID)
20090128	H	7-0	St. Mary's (CA)	Sonoma State
20090129	H	7-0	Ole Miss	Troy
20090130	H	7-0	Baylor	Utah
20090130	A	6-1	Western Michigan	Butler
20090130	N	4-3	Fresno State	SMU
20090130	H	7-0	UNLV	San Francisco
20090130	H	6-1	Oregon	Idaho
20090130	H	5-2	Oregon	Samford
