date	winnerId	loserId	where	roundPos	team1	winner	team2	loser	score
20100903	419482	432987	N	    	Army	Tripp Johnson       	Williams	Matt Micheli        	3-6, 6-3, 10-8
20100905	401591	435358	N	    	Virginia Tech	Corrado DelgIncerti Tocci	Boise State	Jeff Mullen         	6-1,6-3
20100905	388963	450337	N	    	Virginia Tech	Will Beck           	Boise State	Scott Sears         	5-7,6-3,1-0(12-10)
20100905	438283	451230	N	    	Virginia Tech	Lucas Oliveira      	Boise State	Erik Sheldon        	6-3,6-1
20100905	423871	461823	N	    	Virginia Tech	Trpimir Kujundzic   	Boise State	Freddy Walsh        	6-2,0-6,1-0(5)
20100906	438283	461823	N	    	Virginia Tech	Lucas Oliveira      	Boise State	Freddy Walsh        	6-4,6-1
20100906	423871	451230	N	    	Virginia Tech	Trpimir Kujundzic   	Boise State	Erik Sheldon        	6-4,6-2
20100906	401591	450337	N	    	Virginia Tech	Corrado DelgIncerti Tocci	Boise State	Scott Sears         	6-7,7-5,1-0(11-9)
20100906	388963	435358	N	    	Virginia Tech	Will Beck           	Boise State	Jeff Mullen         	5-7,6-1,1-0(10-8)
20100910	481792	422011	H	   1	Holy Cross (MA)	Matt Wierzel        	Connecticut College	George King         	6-3,6-1
20100910	448309	453354	N	   4	VCU	Camill Salomon      	Nebraska	Eric Sock           	6-2, 6-2
20100910	455660	386885	N	   4	N.C. State	Julian Sullivan     	George Washington	Ugur Atalay         	6-2,6-2
20100910	438997	411226	N	   4	Virginia	Philippe Oudshoorn  	Virginia Tech	Pedro Graber        	6-3, 6-2
20100910	410119	427136	N	   4	Tennessee Tech	Josh Girling        	UNC Greensboro	Yaroslav Litus      	6-3,6-4
20100910	432323	454394	N	   4	UNC Greensboro	Timion Meijs        	Elon	Cody Stauffer-Macdowell	2-6, 6-2, 1-0 (4)
20100910	480418	412944	H	   5	Holy Cross (MA)	Ryan Sullivan       	Connecticut College	Chris Hakusui       	6-1,6-4
20100910	430277	426839	N	   8	East Carolina	Mario Martinez      	Charlotte	Hector Linares      	6-2, 6-3
20100910	384096	390931	N	   8	Duquesne	Aram Abgaryan       	Western Michigan	Simon Blomberg      	6-2,3-6,1-0 (6)
20100910	386885	450662	N	   8	George Washington	Ugur Atalay         	James Madison	Florent Sentenac    	6-3,6-2
20100910	403732	425335	N	   8	Richmond	Ethan Dunbar        	Virginia Tech	Adam Lawton         	6-1,6-4
20100910	438997	416548	N	   8	Virginia	Philippe Oudshoorn  	Wake Forest	David Hopkins       	6-3, 6-1
