date	winnerId	loserId	where	roundPos	team1	winner	team2	loser	score
20150904	439871	411398	N	   2	Bucknell	Melissa Parks       	Colgate	Katie Grant         	6-0, 6-1
20150904	417615	432372	N	   4	Colgate	Lauren Hyland       	Bucknell	Madeline Melch      	6-4, 6-4
20150904	417615	397369	N	   4	Colgate	Lauren Hyland       	Bucknell	Maria Cioffi        	7-6, 6-0
20150904	408819	398539	N	   8	Bucknell	Danielle Gannon     	Concordia (NY)	Antonia Conze       	6-4, 6-1
20150904	394115	403384	N	   8	Bucknell	Emilie Bush         	Mount St. Mary's (MD)	Isabell Draper      	6-1, 6-1
20150904	439871	392800	N	   8	Bucknell	Melissa Parks       	Colgate	Kaelin Brittin      	6-1, 6-3
20150904	439623	473360	N	   8	Bucknell	Mikaela Papich      	Loyola (MD)	Emily Hughes        	6-3, 6-2
20150904	419913	394189	N	  16	Bucknell	Lisa Jouravleva     	Indiana (PA)	Sophie Butland      	6-7, 6-1, (10-6)
20150904	397369	416997	N	  16	Bucknell	Maria Cioffi        	Concordia (NY)	Demi Huang          	6-2, 6-3
20150904	419913	415907	N	  16	Bucknell	Lisa Jouravleva     	Colgate	Jennifer Ho         	7-6, 2-6, (10-7)
20150904	459401	442199	N	  16	Bucknell	Michele Urbinati    	Mount St. Mary's (MD)	Brittany Poje       	6-3, 6-7, (10-3)
20150904	432372	442691	N	  16	Bucknell	Madeline Melch      	Mount St. Mary's (MD)	Cassandra Powell    	6-3, 6-7, (10-3)
20150904	439623	460579	N	  16	Bucknell	Mikaela Papich      	Mount St. Mary's (MD)	Elizabeth Veronis   	6-1, 6-1
20150904	439871	469483	N	  16	Bucknell	Melissa Parks       	Loyola (MD)	Julie Clark         	4-6, 6-2, (10-8)
20150904	417615	410848	N	  16	Colgate	Lauren Hyland       	Indiana (PA)	Raquel Gonzalez     	6-1,3-6, (10-6)
20150905	392800	464714	N	    	Colgate	Kaelin Brittin      	Indiana (PA)	Rachel Wood         	6-3, 7-5
