date	winnerId	loserId	where	roundPos	team1	winner	team2	loser	score
20160826	431796	458538	N	    	Saint Louis	Cassie McKenzie     	UMSL	Carlota Trevino     	6-3,6-4
20160826	456844	458538	N	    	Saint Louis	Verginie Tchakarova 	UMSL	Carlota Trevino     	6-1,6-0
20160826	431796	443251	N	    	Saint Louis	Cassie McKenzie     	Eastern Illinois	Emily Pugachevsky   	6-2,6-4
20160826	456841	390865	N	    	Saint Louis	Elenore Tchakarova  	UMSL	Salome Bleuler      	4-6,6-1,10-5
20160826	456841	390865	N	    	Saint Louis	Elenore Tchakarova  	UMSL	Salome Bleuler      	6-4,6-3
20160826	431796	420402	N	    	Saint Louis	Cassie McKenzie     	Quincy	Rita Kanaeva        	7-5,6-1
20160826	431796	414220	N	    	Saint Louis	Cassie McKenzie     	UMSL	Jennifer Hauer      	6-4,6-3
20160826	396178	423841	N	    	Saint Louis	Aspen Cervin        	Quincy	Amy Kuhle           	6-2,6-0
20160826	396178	426856	N	    	Saint Louis	Aspen Cervin        	UMSL	Kristine Lindall    	6-4,6-4
20160826	456841	428447	N	    	Saint Louis	Elenore Tchakarova  	Quincy	Sydney Lynch        	6-0,6-1
20160826	456844	430910	N	    	Saint Louis	Verginie Tchakarova 	UMSL	Patricia Maya       	6-3,6-3
20160826	446642	431634	N	    	Saint Louis	Mariluz Rojo Domingo	Quincy	Morgan McGinnis     	6-1,6-1
20160826	456844	431748	N	    	Saint Louis	Verginie Tchakarova 	Quincy	Rebecca McIsaac     	6-0,6-0
20160901	395840	452100	N	    	Temple	Cecilia Castelli    	Drexel	Anisiya Simpson     	6-3 6-1
20160901	386762	464544	N	    	Columbia	Rima Asatrian       	Princeton	Alanna Wolff        	6-4, 6-1
20160901	438516	391865	N	    	Santa Clara	Giannina Ong        	Cal Poly	Claire Bouquet      	6-2,7-6
20160902	392143	434952	N	  16	Richmond	Brittany Boys       	Appalachian State	Rebecca Morse       	6-1, 4-6, 6-3
20160903	439080	428618	N	   8	Richmond	Lea Owens           	Appalachian State	Melissa Machado     	6-3, 6-1
20160903	443927	466557	N	   8	Richmond	Ana Ramirez         	Appalachian State	McKayla Zupan       	6-2, 6-3
20160908	432786	465080	A	   1	Merrimack	Grace Messina       	Franklin Pierce	Alana Wyatt         	6-0, 6-1
20160908	450495	446302	A	   2	Merrimack	Mana Seifaei        	Franklin Pierce	Sonia Rodrigues     	6-0, 6-1
20160908	441018	392480	A	   3	Merrimack	Lauren Persson      	Franklin Pierce	Kara Brazel         	6-0, 6-0
20160908	390682	445275	A	   4	Merrimack	Mackenzie Blair     	Franklin Pierce	Sarah Rich          	6-4, 6-2
20160908	403801	437998	A	   5	Merrimack	Danielle Dunn       	Franklin Pierce	Kelly ODonnell      	6-0, 6-0
20160908	392707	443432	A	   6	Merrimack	Mia Briggs          	Franklin Pierce	Maria Quagliano     	6-1, 6-2
20160909	427204	458875	N	   2	St. John's (NY)	Jessica Livianu     	Stony Brook	Elizabeth Tsvetkov  	6-3, 6-1
20160909	453495	443927	N	   2	Winthrop	Alisa Soloveva      	Richmond	Ana Ramirez         	6-0 6-1
20160909	417791	437155	N	   4	St. John's (NY)	Olya Inclan Solis   	Stony Brook	Yana Nikolaeva      	6-4, 7-5
20160909	427204	396907	N	   4	St. John's (NY)	Jessica Livianu     	Stony Brook	Ester Chikvashvili  	6-1, 6-2
20160909	436353	396615	N	   4	Northern Illinois	Raven Neely         	Northern Illinois	Pauline Chawafambira	6-4 6-2
20160909	458875	434828	N	   4	Stony Brook	Elizabeth Tsvetkov  	St. John's (NY)	Anna Morozova       	6-0, 6-0
20160909	398189	422962	N	   8	St. John's (NY)	Jaide Collins       	Navy	Anastasia Kondrasov 	6-4, 6-3
20160909	453495	463844	N	   8	Winthrop	Alisa Soloveva      	Richmond	Kelsey Williams     	6-0 6-1
20160909	440704	385933	N	   8	Winthrop	Arianna Pepper      	Appalachian State	Remi Andre          	6-3 6-1
20160909	396615	399267	N	   8	Northern Illinois	Pauline Chawafambira	DePaul	Marina Cozac        	7-6 7-5
20160909	396615	429942	N	   8	Northern Illinois	Pauline Chawafambira	Milwaukee	Hayley Marshall     	6-1 6-2
20160909	401453	430447	N	   8	Northern Illinois	Abigail Dekkinga    	Milwaukee	Berta Masip         	6-3 6-2
20160909	395462	391538	N	   8	Stony Brook	Ana Carrion Rodriguez	Florida Atlantic	Lyndsey Boos        	6-7, 6-1, 10-7
20160909	437155	447750	N	   8	Stony Brook	Yana Nikolaeva      	Fairleigh Dickinson	Marta Ruszczynska   	2-6, 6-1, 12-10
20160909	396907	426714	N	   8	Stony Brook	Ester Chikvashvili  	Bowdoin	Joulia Likhanskaia  	6-2, 6-3
20160909	420482	430593	N	   8	Boise State	Hanna Kantenwein    	Washington State	Victoria Matejevic  	6-3, 7-6
20160909	433407	392800	N	   8	St. Francis (PA)	Stephanie Miller    	Colgate	Kaelin Brittin      	6-4, 6-2
20160909	398117	416367	N	   8	Washington State	Lejla Colic         	Montana State	Wanda Holopainen    	6-3, 6-2
20160909	433104	432577	N	   8	Washington State	Aneta Miksovska     	Boise State	Nancy Menjivar      	6-1, 0-6, 6-4
20160909	432962	403693	N	   8	Washington State	Barbora Michalkova  	Montana	Lidia Dukic         	6-2, 6-2
20160909	386904	395080	N	   8	Washington State	Melisa Ates         	Montana	Anabel Carbo-Estruch	4-6, 6-2, 6-2
20160909	458033	458244	N	   8	Washington State	Ege Tomey           	Boise State	Milena Toseva       	7-5, 6-7, 6-3
20160909	384378	430116	N	   8	UNC Greensboro	Sophia Adams        	Radford	Meili Martin        	6-2 6-0
20160909	422641	446832	N	   8	Appalachian State	Devin Knors         	Winthrop	Peggy Rooke         	6-4 6-2
20160909	387065	390698	N	   8	Bucknell	Jillian Auteri      	Mount St. Mary's (MD)	Emma Blake          	6-0, 6-1
20160909	402527	454996	N	  16	Binghamton	Annie Dimuro        	Buffalo	Tanja Stojanovska   	1-6, 7-6(5), 7-5
20160909	443927	439502	N	  16	Richmond	Ana Ramirez         	Liberty	Aleksandra Panchenko	6-3, 6-1
20160909	429956	404668	N	  16	Richmond	Kiana Marshall      	Radford	Lilly Ellick        	6-1, 6-0
20160909	409878	390995	N	  16	Richmond	Lyndell Giffenig    	UNC Greensboro	Corinne Blythe      	4-6, 6-4, 6-4
20160909	463844	410926	N	  16	Richmond	Kelsey Williams     	Emory	Melissa Goodman     	6-2,7-5
20160909	466392	427669	N	  16	Richmond	Dessi Zlateva       	Emory	Daniela Lopez       	6-3, 6-2
20160909	433807	446692	N	  16	Syracuse	Nicole Mitchell     	Binghamton	Allison Roma        	6-0 6-1
20160909	458652	404498	N	  16	Syracuse	Maria Tritou        	Binghamton	Michelle Eisenberg  	3-6 7-6 (5) 6-1
20160909	432656	427132	N	  16	Wake Forest	Courtney Meredith   	Radford	Camilla Littlewood  	6-3, 6-0
20160909	407730	446540	N	  16	Wake Forest	Alexis Franco       	NCCU	Jamie Rogers        	7-6 (4), 4-6, 7-6 (2)
20160909	411960	435151	N	  16	Liberty	Emily Groeneveld    	Winthrop	Alya Mourad         	5-7, 6-2, 6-2
20160909	442895	449663	N	  16	St. John's (NY)	Irina Preotescu     	Marist	Claire Schmitz      	6-1, 6-1
20160909	417791	454181	N	  16	St. John's (NY)	Olya Inclan Solis   	Bowdoin	Samantha Stalder    	6-4, 7-5
20160909	434828	415227	N	  16	St. John's (NY)	Anna Morozova       	Navy	Rozel Hernandez     	6-1,6-3
20160909	398189	408691	N	  16	St. John's (NY)	Jaide Collins       	Marist	Amy Galloway        	6-2, 6-4
20160909	447193	442018	N	  16	Villanova	Kaylan Rotman       	St. Francis (PA)	Brittany Plaszewski 	6-3, 6-2
