date	winnerId	loserId	where	roundPos	team1	winner	team2	loser	score
20190824	449609	476212	A	   1	Indiana East	Krystal Schmidt     	Miami Middletown	Abby Miller         	6-0, 6-0
20190824	387190	511347	A	   2	Indiana East	Bri Ayres           	Miami Middletown	Marielena Orozco    	6-2, 6-1
20190824	486403	497442	A	   3	Indiana East	Ashlyn Hubbard      	Miami Middletown	Emma Estepp         	6-2, 6-1
20190824	511289	478795	A	   4	Indiana East	Mackenzie Cook      	Miami Middletown	Liezl Romero        	6-0, 6-0
20190824	486402	511345	A	   5	Indiana East	Savannah Houck      	Miami Middletown	Skylar Shane        	6-0, 6-1
20190824	486405	511346	A	   6	Indiana East	Megann Sasher       	Miami Middletown	Mika Roseberry      	7-6, 6-3
20190827	428158	480169	H	   1	Marian (IN)	Maria Lueken        	St. Francis (IN)	Taylor Stanchin     	6-0, 6-0
20190827	511352	516857	H	   2	Marian (IN)	Betija Dusele       	St. Francis (IN)	Jessica Henline     	6-4, 6-2
20190827	485919	496356	H	   3	Marian (IN)	Laura Kuebler       	St. Francis (IN)	Regina Faber        	6-1, 6-0
20190827	485918	496359	H	   4	Marian (IN)	Teodora Simion      	St. Francis (IN)	Sarah Liter         	6-0, 6-0
20190827	485917	516855	H	   5	Marian (IN)	liza lewis          	St. Francis (IN)	Maddy Deroo         	6-0, 6-2
20190827	435354	474201	H	   6	Marian (IN)	Mary Mullaney       	St. Francis (IN)	Christina King      	6-0, 6-0
20190827	388727	411472	H	   1	Indiana Wesleyan	Elizabeth Bauss     	Taylor	Katelyn Gray        	6-2, 6-0
20190827	487537	416754	H	   2	Indiana Wesleyan	Madelyn Bemisderfer 	Taylor	Julianna Hotmire    	6-1, 6-0
20190827	499425	512438	H	   3	Indiana Wesleyan	Lena Golz           	Taylor	Lauryn Riegsecker   	6-0, 6-2
20190827	402042	512435	H	   4	Indiana Wesleyan	Thewuni Devaraja    	Taylor	Kiersten Martin     	6-0, 6-0
20190827	434454	492933	H	   5	Indiana Wesleyan	Laura Moore         	Taylor	Lydia Browning      	6-0, 6-0
20190827	511749	441714	H	   6	Indiana Wesleyan	Ellie Snider        	Taylor	Molly Pile          	6-0, 6-0
20190828	514578	512011	H	   1	MVNU	Hannah Fugate       	Goshen	Sarah Hinshaw       	6-0, 5-7, 7-5
20190828	495733	495210	H	   2	MVNU	Casey Clark         	Goshen	Victoria Oakes      	6-1, 0-6, 1-6
20190828	514579	512013	H	   3	MVNU	Hailey Clayborn     	Goshen	Hannah McCoy        	6-0, 6-1
20190828	473055	512014	H	   4	MVNU	Sarah Higgins       	Goshen	Anna Osborne        	2-6, 3-6
20190828	474663	495212	H	   5	MVNU	Aly Landis          	Goshen	Ashley Arroyo       	1-6, 0-6
20190828	495735	423036	H	   6	MVNU	Sarah Young         	Goshen	Elsie Koop Liechty  	1-6, 3-6
20190828	390145	494703	A	   1	Millikin	Morgan Bettner      	Illinois College	Sophia Roth         	6-1, 6-1
20190828	415874	512515	H	   2	Illinois College	Sally Kate Hixson   	Millikin	Brianna Barconi     	2-6, 2-6
20190828	488875	444576	A	   3	Millikin	Shelby Jones        	Illinois College	Lena Reed           	6-1, 6-0
20190828	388847	410385	A	   4	Millikin	Danielle Beard      	Illinois College	Kalisa Goertz       	6-3, 7-6(4)
20190828	398670	401191	A	   5	Millikin	Katie Cooper        	Illinois College	Madelyn Deardorff   	6-4, 6-1
20190828	488027	504539	A	   6	Millikin	Amber Rezinas       	Illinois College	Maggie Dooley       	6-0, 6-0
20190828	402892	512280	H	   1	Huntington	Meg Dolde           	Spring Arbor	Abby Ducharme       	6-3, 7-5
20190828	509816	487405	H	   2	Huntington	Charlotte Solli     	Spring Arbor	Sela Clifford       	6-0, 6-0
20190828	486504	512281	H	   3	Huntington	Morgan Fitzpatrick  	Spring Arbor	Paige Trela         	6-1, 6-4
20190828	452209	487406	H	   4	Huntington	Lanae Singleton     	Spring Arbor	Morgan Summons      	6-0, 6-4
20190828	487408	398165	A	   5	Spring Arbor	Lindsey Scott       	Huntington	Lisa Colling        	2-6
20190828	486505	512282	H	   6	Huntington	Molly Burton        	Spring Arbor	Shae Wright         	6-0, 6-1
20190829	469740	512011	H	   1	Judson (IL)	Sofia Corona Garza  	Goshen	Sarah Hinshaw       	6-0, 7-6(3)
20190829	510827	495210	H	   2	Judson (IL)	Lizeth Medina-Diaz  	Goshen	Victoria Oakes      	6-2, 6-2
20190829	473597	512013	H	   3	Judson (IL)	Lauren Janecek      	Goshen	Hannah McCoy        	6-1, 7-6
20190829	478335	512014	H	   4	Judson (IL)	Georgia Redmond     	Goshen	Anna Osborne        	6-2, 6-0
20190829	510826	495212	H	   5	Judson (IL)	Katelynn Coleman    	Goshen	Ashley Arroyo       	6-0, 6-1
20190829	423402	510824	A	   6	Goshen	Kyra Krall          	Judson (IL)	Hannah Womack       	6-3, 6-0
20190829	514853	440566	A	   1	Oneonta	Madeline Carswell   	Alfred	Tori Pellegrino     	6-0, 6-4
20190829	514856	504206	A	   2	Oneonta	Maxie Karen         	Alfred	Lauren Boshart      	6-1, 6-0
20190829	514852	452679	A	   3	Oneonta	Giovanna Buccina    	Alfred	Amber Smith         	7-5, 6-2
20190829	514855	512226	A	   4	Oneonta	Emily Greene        	Alfred	Kailey Reyes        	6-0, 6-0
20190829	514857	512225	A	   5	Oneonta	Ariel Loucks        	Alfred	Madison Palmer      	6-1, 6-1
20190829	439626	512228	A	   6	Oneonta	Gianna Papini       	Alfred	Isabelle Benoit     	6-2, 6-1
20190829	511195	480169	A	   1	Indiana Tech	Abigail Simms       	St. Francis (IN)	Taylor Stanchin     	6-1, 6-1
20190829	493982	496356	A	   3	Indiana Tech	Martina Borges      	St. Francis (IN)	Regina Faber        	6-3, 6-4
20190829	511196	496359	A	   4	Indiana Tech	Carolina Fabbri     	St. Francis (IN)	Sarah Liter         	6-4, 6-1
20190829	511199	474201	A	   6	Indiana Tech	Chloe Smithley      	St. Francis (IN)	Christina King      	6-0, 6-0
20190829	400054	430536	H	   1	Valparaiso	Claire Czerwonka    	Grace (IN)	Emily Mast          	6-1, 6-0
20190829	513373	511319	H	   2	Valparaiso	Olivia Czerwonka    	Grace (IN)	Dayana Ortega       	6-1, 6-1
20190829	513374	398715	H	   3	Valparaiso	Amanda Tabanera     	Grace (IN)	Carrie Copeland     	6-0, 6-1
20190829	485205	495542	H	   4	Valparaiso	Isabella Schoolcraft	Grace (IN)	Jayna Armstrong     	6-1, 6-1
20190829	513375	495541	H	   5	Valparaiso	Demi Jhaveri        	Grace (IN)	Morgan Mast         	6-1, 6-1
20190829	456172	387889	H	   6	Valparaiso	Dao Sysouvanh       	Grace (IN)	Shelby Bankson      	6-1, 6-3
20190830	452553	488944	N	  SF	Asbury	Alexa Slone         	Indiana Kokomo	Mary Sayre          	6-3, 6-4
20190830	512513	486402	N	  SF	Indiana Kokomo	Mayzie Hinkle       	Indiana East	Savannah Houck      	7-5, 6-2
20190830	452553	509369	N	  QF	Asbury	Alexa Slone         	Indiana Southeast	Kate Henderson      	6-2, 6-2
20190830	488944	504359	N	  QF	Indiana Kokomo	Mary Sayre          	Brescia	Sierra Thompson     	6-0, 6-0
20190830	512513	512605	N	  QF	Indiana Kokomo	Mayzie Hinkle       	Asbury	Alejandra Ahern     	6-4, 6-0
20190830	509369	504359	N	C-SF	Indiana Southeast	Kate Henderson      	Brescia	Sierra Thompson     	6-0, 6-1
20190830	488944	486402	N	    	Indiana Kokomo	Mary Sayre          	Indiana East	Savannah Houck      	6-3, 6-3
20190830	502073	504359	N	    	Midway	Winter Bruggeworth  	Brescia	Sierra Thompson     	6-1, 6-1
20190830	485887	512511	N	   F	Asbury	Luciana Iriarte     	Indiana Kokomo	Reese Johnson       	6-2, 6-2
20190830	485887	394279	N	  SF	Asbury	Luciana Iriarte     	Midway	Erin Byassee        	6-0, 6-3
20190830	512511	488947	N	  SF	Indiana Kokomo	Reese Johnson       	Brescia	Mazvita Ngorosha    	6-1, 6-1
20190830	485887	485321	N	  QF	Asbury	Luciana Iriarte     	Indiana Southeast	Hallee Miller       	7-5, 6-0
20190830	512511	387190	N	  QF	Indiana Kokomo	Reese Johnson       	Indiana East	Bri Ayres           	6-2, 6-3
20190830	485321	387190	N	 C-F	Indiana Southeast	Hallee Miller       	Indiana East	Bri Ayres           	6-2, 2-6, 1-0(9)
20190830	394279	488947	N	    	Midway	Erin Byassee        	Brescia	Mazvita Ngorosha    	6-4, 6-3
20190830	508970	411667	N	   F	Asbury	Grace Gorby         	Indiana Southeast	Camille Greenwell   	6-1, 6-3
20190830	508970	488941	N	  SF	Asbury	Grace Gorby         	Indiana Kokomo	Hannah Hudson       	6-0, 6-0
20190830	411667	512509	N	  SF	Indiana Southeast	Camille Greenwell   	Indiana Kokomo	Casey Clark         	6-7(4), 6-4, 1-0(7)
20190830	508970	486453	N	  QF	Asbury	Grace Gorby         	Midway	Carly Poste         	6-4, 6-3
20190830	512509	449609	N	  QF	Indiana Kokomo	Casey Clark         	Indiana East	Krystal Schmidt     	6-3, 4-6, 1-0(3)
20190830	449609	486453	N	 C-F	Indiana East	Krystal Schmidt     	Midway	Carly Poste         	7-5, 6-2
20190830	512509	488941	N	 C-F	Indiana Kokomo	Casey Clark         	Indiana Kokomo	Hannah Hudson       	6-4, 6-1
20190830	512510	485886	N	   F	Indiana Kokomo	Sophie Davidson     	Asbury	Allie Sutton        	6-2, 6-2
