date	where	score	winner	loser
20160910	A	7-0	Air Force	CSU-Pueblo
20160910	N	7-0	Air Force	UTPB
20160922	A	7-2	Merrimack	St. Anselm
20160924	H	9-0	Merrimack	American International
20160927	A	4-3	Rhode Island	Bryant
20160928	A	5-2	UMass	Connecticut
20161001	N	9-0	Western Illinois	Judson (IL)
20161002	A	6-1	Rhode Island	Providence
20161004	H	4-3	Connecticut	Quinnipiac
20161005	A	8-1	Niagara	Daemen
20161006	H	6-1	Lafayette	Moravian
20161007	N	6-3	Dixie State	Metropolitan State
20161008	N	9-0	Dixie State	CSU-Pueblo
20161008	H	7-0	Seattle	Pacific Lutheran
20161011	A	8-1	Merrimack	St. Michael's
20161015	H	6-1	Fordham	Seton Hall
20161020	A	6-1	Towson	Mount St. Mary's (MD)
20170111	H	5-2	Central Florida	Flagler
20170112	A	6-1	Washington	Hawaii
20170113	H	5-2	Central Florida	Florida Tech
20170113	A	4-3	UAB	Lipscomb
20170113	H	4-3	Youngstown State	Eastern Michigan
20170113	H	6-1	Oregon	Portland
20170113	N	7-0	Washington	Kansas State
20170114	H	4-0	Tulsa	Oral Roberts
20170114	H	6-0	Tulsa	Oral Roberts
20170114	H	6-0	Tulsa	Arkansas Pine Bluff
20170114	H	6-0	Tulsa	Arkansas Pine Bluff
20170114	N	7-0	Georgia Tech	Portland
20170114	H	7-0	Northwestern	Akron
20170114	H	7-0	Northwestern	Chicago State
20170114	H	7-0	Penn State	Navy
20170114	H	4-3	Hawaii	Kansas State
20170114	H	6-1	Old Dominion	Temple
20170114	N	6-1	Northern Kentucky	St. Francis (PA)
20170114	H	6-1	Western Michigan	Oakland
20170114	H	7-0	Western Michigan	Valparaiso
20170114	H	7-0	Washington State	Eastern Washington
20170114	H	0-7	Washington State	Seattle
20170114	A	7-0	Ole Miss	UC Irvine
20170114	H	5-2	New Mexico State	Central Oklahoma
20170114	N	5-2	UTRGV	Prairie View A&M
20170115	A	6-1	Georgia Tech	Oregon
20170115	H	7-0	Middle Tennessee	Belmont
20170115	H	5-2	Middle Tennessee	Lipscomb
20170115	H	7-0	Alabama	Alabama State
