date	winnerId	loserId	where	roundPos	team1	winner	team2	loser	score
20160324	432723	422890	A	   2	UC Irvine	Nico Mertens        	Hawaii	Igor Kolaric        	7-5 4-6 10-7
20160324	432929	432567	A	   2	UCSD	Alexandre Miaule    	Sonoma State	Blaine Mengert      	6-0, 6-2
20160324	460991	408703	N	   2	S.C. State	Jakub Vitek         	DePaul	Alex Galoustian     	6-1, 1-6, 7-6(8)
20160324	422543	458076	A	   2	Wagner	Ilya Kneppelhent    	Connecticut	Chris Toner         	5-7, 6-4, 6-1
20160324	449948	385628	N	   2	Grand Canyon	Felix Schueller     	UTRGV	Ethan Ammon         	6-0 6-2
20160324	410685	455126	H	   2	New Mexico State	Christofer Goncalves	Seattle	John Stormans       	7-5, 6-0
20160324	436248	437041	N	   2	UMKC	Amaury Navette      	Chicago State	Gabriel Niculescu   	6-2, 3-6, 6-3
20160324	462129	442223	H	   3	Connecticut	Justin Warren       	Wagner	Eric Poland         	6-4, 7-5
20160324	426025	430119	H	   3	Memphis	Kai Lemke           	Jackson State	Miguel Martin       	6-0, 6-0
20160324	388731	445665	A	   3	Tulsa	Carlos Bautista     	Baylor	Felipe Rios         	4-6, 7-6(5), 6-4
20160324	412835	390003	H	   3	Davidson	David Hager         	Dayton	Zach Berry          	6-4,6-0
20160324	386639	405926	H	   3	Richmond	James Aronson       	Longwood	Julian Farthing     	6-4,6-4
20160324	445596	406589	H	   3	Florida State	Michael Rinaldi     	Georgia Tech	Cole Fiegel         	7-6 (8), 6-3
20160324	393112	405366	H	   3	Louisville	Jeffrey Brown       	Tennessee Tech	Alberto Esteban     	6-4, 6-4
20160324	393112	438298	H	   3	Louisville	Jeffrey Brown       	Illinois State	Rodrigo Oliveira    	6-1, 6-4
20160324	465373	404818	H	   3	USC Upstate	Jamie Yates         	Stetson	Pierre Emanuel-Fossier	6-7 7-6 1/0
20160324	406683	434498	A	   3	Idaho State	Francis Filipovich  	Arizona Christian	Seth Moore          	6-1,6-3
20160324	449584	386007	A	   3	Montana	Yannick Schmidl     	Southern Utah	Ryan Andrus         	6-2, 7-5
20160324	429533	402280	H	   3	Presbyterian	Diego Manzanas      	Limestone	Benji Diaz - Lascari	6-2,6-1
20160324	393279	442758	H	   3	Presbyterian	Danny Bruce         	Liberty	Alex Poynter        	6-2, 6-1
20160324	429849	431155	H	   3	UC Irvine	Luca Marquard       	UC Riverside	Kyle McCann         	6-3, 7-5
20160324	429849	396342	A	   3	UC Irvine	Luca Marquard       	Hawaii	Marcel Chan         	6-4 6-4
20160324	385553	426624	A	   3	UCSD	Rodrigo Amaral      	Sonoma State	Logan Liddell       	6-2, 6-2
20160324	461743	426025	A	   3	Dartmouth	George Wall         	Memphis	Kai Lemke           	6-2, 3-6, 6-3
20160324	465282	419354	N	   3	S.C. State	Vladyslav Yanchenko 	DePaul	Kyle Johnson        	6-4, 6-1
20160324	446568	418583	N	   3	Grand Canyon	Alex Roggenkamp     	UTRGV	Koby Jansen         	6-4 6-4
20160324	410465	389816	H	   3	New Mexico State	Liam Goldberg       	Seattle	Tanner Berkabile    	6-2, 6-0
20160324	408549	449132	N	   3	UMKC	Uldis Gaismins      	Chicago State	Felix-Antione Savard	6-3, 6-1
20160324	440209	410172	H	   4	Memphis	Chris Patzanovsky   	Jackson State	Stylianos Gkontsaris	6-1, 6-4
20160324	418619	435006	A	   4	Tulane	Chi-Shan Jao        	Fresno State	Jeremy Moser        	6-0, 6-0
20160324	448737	411144	A	   4	Dayton	Bernardo Sanson     	Davidson	Jb Gough            	6-4,3-6,7-5
20160324	412863	448714	H	   4	Richmond	Alex Hahn           	Longwood	Bharani Sankar      	6-1,6-0
20160324	403197	426534	H	   4	Florida State	Aziz Dougaz         	Georgia Tech	Andrew Li           	6-2, 7-5
20160324	412512	429533	A	   4	Liberty	Eddie Gutierrez     	Presbyterian	Diego Manzanas      	6-4, 7-5
20160324	389438	431277	H	   4	Baylor	Jimmy Bendeck       	Tulsa	Dylan McCloskey     	7-6(8), 6-0
20160324	449398	395810	A	   4	Idaho State	Bjorn Scheepbouwer  	Arizona Christian	David Castano       	6-4,6-1
20160324	394912	397873	A	   4	Montana	Alexander Canellopoulos	Southern Utah	Joshua Coen         	6-0, 6-0
