date	where	score	winner	loser
20130911	H	7-0	Fairfield	Rider
20130913	H	7-0	Air Force	Fort Hays State
20130913	H	7-0	Air Force	UTPB
20130913	H	4-3	Holy Cross (MA)	Siena
20130914	H	6-1	Air Force	CSU-Pueblo
20130914	H	7-0	Air Force	Metropolitan State
20130915	H	7-0	Holy Cross (MA)	Connecticut College
20130917	A	0-0	La Salle	Gwynedd-Mercy
20130925	A	9-0	Holy Cross (MA)	Assumption
20130928	H	7-0	UMass	Providence
20130929	H	9-0	Merrimack	Assumption
20130930	A	9-0	Holy Cross (MA)	Curry
20131001	H	6-1	Holy Cross (MA)	Stonehill
20131002	H	7-0	Towson	Mount St. Mary's (MD)
20131006	A	8-1	Merrimack	Le Moyne
20131009	H	4-3	UMass	Connecticut
20140111	H	4-3	South Florida	Syracuse
20140112	H	6-1	Duke	William & Mary
20140114	H	5-2	Hawaii	Nevada
20140115	A	5-2	Virginia	William & Mary
20140115	H	7-0	San Francisco	UC Santa Cruz
20140116	A	5-2	San Jose State	Hawaii
20140117	H	3-2	VCU	Campbell
20140117	H	0-5	VCU	Georgetown
20140117	H	4-3	Cincinnati	Toledo
20140117	H	5-0	Washington State	Idaho
20140117	H	7-0	Washington State	Montana State
20140117	A	4-3	Akron	West Virginia
20140118	H	7-0	Tulsa	BYU
20140118	H	7-0	Tulsa	Oral Roberts
20140118	H	6-1	Tulane	Southern Miss
20140118	H	6-1	Clemson	Charleston Southern
20140118	H	4-0	Clemson	Troy
20140118	H	7-0	Notre Dame	IUPUI
20140118	H	7-0	Notre Dame	Western Michigan
20140118	H	6-1	Virginia Tech	Davidson
20140118	H	6-1	Virginia Tech	Elon
20140118	N	6-1	Liberty	NCCU
20140118	H	7-0	TCU	Syracuse
20140118	H	5-2	TCU	Texas Arlington
20140118	H	7-0	Texas Tech	Texas State
20140118	H	7-0	Texas Tech	Wyoming
20140118	A	5-2	Idaho	Montana State
20140118	N	4-2	Charleston Southern	Troy
20140118	H	0-9	UNC Asheville	Mars Hill
20140118	N	7-0	Ohio State	Prairie View A&M
20140118	H	6-1	Penn State	Bucknell
20140118	A	5-2	Penn State	Cleveland State
20140118	H	7-0	William & Mary	East Carolina
20140118	H	6-1	William & Mary	James Madison
20140118	H	4-1	Old Dominion	Howard
20140118	H	7-0	Old Dominion	Norfolk State
20140118	H	7-0	Rice	Lamar
20140118	A	7-0	Western Michigan	Valparaiso
20140118	A	7-0	Air Force	Seattle
20140118	A	4-0	Air Force	Seattle
20140118	H	6-1	San Diego State	CSU Fullerton
20140118	H	6-1	San Diego State	UC Riverside
20140118	H	7-0	Arizona State	Northern Arizona
20140118	H	5-0	Arizona State	Northern Arizona
20140118	A	6-1	Washington	Hawaii
20140118	H	7-0	Navy	St. Francis (PA)
20140118	H	6-1	South Carolina	College of Charleston
20140118	H	4-3	South Carolina	ETSU
20140118	A	4-3	San Francisco	Sacramento State
20140118	A	4-1	Akron	Wright State
20140118	A	6-1	Akron	Dayton
20140119	H	4-2	Florida State	Stetson
20140119	H	4-1	Florida State	UAB
20140119	A	4-0	Stetson	Florida A&M
20140119	H	7-0	Oklahoma	North Texas
20140119	H	6-1	Michigan State	Detroit Mercy
20140119	H	7-0	Michigan State	Toledo
20140119	A	0-7	Penn State	Navy
20140119	A	6-1	College of Charleston	Davidson
20140119	N	4-3	Wyoming	Texas State
20140119	N	1-5	St. Francis (PA)	George Mason
20140119	N	5-2	Washington	Long Beach State
20140119	H	4-2	LSU	Nicholls State
20140119	H	5-1	LSU	Southern
20140119	H	6-1	Mississippi State	Alabama State
20140120	H	6-1	Wake Forest	College of Charleston
20140120	H	7-2	Wake Forest	UNC Greensboro
20140120	A	5-2	Long Beach State	Hawaii
20140120	H	6-1	Missouri	SIUE
20140120	H	6-1	Missouri	Saint Louis
20140121	H	7-0	Nebraska	Creighton
20140121	H	4-3	San Jose State	Sacramento State
20140121	H	7-0	UCLA	UC Santa Barbara
20140122	H	4-0	North Carolina	Elon
20140122	H	4-0	North Carolina	UNC Greensboro
20140122	H	6-1	Texas	UTSA
20140122	H	7-0	Ole Miss	Jackson State
20140124	H	5-0	Houston	UTSA
