line	region	regSeed	seed	confChamp	conference	team	wins	losses	itaRank	trnRank	slamRank	masseyRank	utrRank	eloRank	glickoRank	rpiRank	ustaRank	coachRank	r2Id	trnId	utrId	masseyId	teamCode	division
					ACC	Wake Forest	11	12	33	31	32	34	32	104	63	57		31	383845	824	996	8508	WAKE	NCAAW
					C-USA	Florida International	12	1	41	29	30	38	52	19	30	13	RV	50	382660	1088	2468	2652	FIU	NCAAW
					Pac-12	USC	11	10	35	43	35	26	6	92	47	29		34	383774	1033	914	8251	USC	NCAAW
					WCC	San Diego	15	4	39	39	37	32	34	17	23	51		47	383756	1101	1162	8241	USD	NCAAW
					SEC	Arkansas	11	10	32	33	39	46	38	123	56	81		33	383667	1039	1201	316	ARK	NCAAW
					Big Ten	Iowa	13	7	45	32	36	37	57	63	61	77		40	383694	882	1198	3540	IOWA	NCAAW
					Big 12	Oklahoma State	11	11	37	38	38	36	18	73	50	53		37	383174	845	875	5912	OKST	NCAAW
					C-USA	Rice	15	6	40	37	41	40	37	40	32	21		39	383266	1111	954	6535	RICE	NCAAW
					Big 12	Iowa State	13	7	36	44	42	44	45	52	31	58		36	382840	844	1675	3554	ISU	NCAAW
					Big Ten	Nebraska	11	6	50	40	43	42	54	118	122	113		48	383723	841	1024	5279	NEB	NCAAW
					SEC	Mississippi State	11	12	38	41	45	53	39	143	77	78		38	383049	1040	1269	4936	MSST	NCAAW
					AAC	SMU	21	10	43	46	47	43	44	32	29	52		46	383364	1110	1036	7358	SMU	NCAAW
