date	where	score	winner	loser
20090925	A	7-0	Lafayette	Wagner
20090926	A	7-0	Fordham	Wagner
20091006	H	6-1	La Salle	St. Thomas Aquinas
20091008	H	6-1	La Salle	Sciences (Philadelphia)
20091010	A	4-3	La Salle	Fordham
20091010	H	7-0	Mount St. Mary's (MD)	Wagner
20091011	A	7-0	Rider	Wagner
20091012	H	7-0	La Salle	Wagner
20100114	H	6-1	Tulsa	Oral Roberts
20100114	H	7-0	Tulsa	Arkansas Pine Bluff
20100114	H	7-0	Washington	Gonzaga
20100115	H	4-3	Tulsa	SMU
20100115	H	7-0	BYU	Utah State
20100115	H	7-0	BYU	Weber State
20100115	H	6-1	Gonzaga	Seattle
20100116	H	7-0	DePaul	Chicago
20100116	H	6-1	DePaul	Illinois - Chicago
20100116	A	6-1	Nebraska	Creighton
20100116	H	7-0	Nebraska	Illinois State
20100116	H	6-1	Hawaii	St. Mary's (CA)
20100116	N	5-1	UC Davis	UC Santa Cruz
20100116	N	7-0	California	SMU
20100116	H	6-1	South Carolina	Wofford
20100116	H	7-0	Vanderbilt	Belmont
20100116	H	7-0	Vanderbilt	Chattanooga
20100116	H	4-0	Santa Clara	UC Davis
20100116	H	4-0	Santa Clara	UC Santa Cruz
20100117	H	7-0	Northwestern	Ball State
20100117	H	7-0	Northwestern	Illinois - Chicago
20100117	H	5-2	Hawaii	Nevada
20100117	N	6-1	UC Santa Barbara	St. Mary's (CA)
20100117	A	6-1	California	Tulsa
20100117	A	4-3	Washington	Arkansas
20100118	H	5-2	Hawaii	UC Santa Barbara
20100119	H	6-1	South Florida	Florida Gulf Coast
20100120	H	7-0	Ohio State	Butler
20100120	H	7-0	Ohio State	Xavier
20100120	N	4-3	Oregon	Weber State
20100121	H	6-1	Northern Arizona	Sacramento State
20100121	N	5-2	UC Irvine	Seattle
20100121	H	7-0	Washington	Portland
20100122	H	5-2	Tulsa	Memphis
20100122	H	4-3	Notre Dame	William & Mary
20100122	H	7-0	Baylor	Louisiana
20100122	A	6-1	Texas	Arkansas
20100122	A	5-1	Texas Tech	UNLV
20100122	H	6-1	DePaul	Northern Illinois
20100122	H	7-0	Nebraska	Radford
20100122	H	4-3	Northwestern	Alabama
20100122	N	4-3	UC Irvine	Portland
20100122	H	7-0	Florida	Central Florida
20100122	A	6-1	Vanderbilt	N.C. State
20100122	N	5-1	East Carolina	Norfolk State
20100122	A	4-3	East Carolina	Old Dominion
20100123	H	4-1	VCU	Georgetown
20100123	H	5-0	VCU	James Madison
20100123	H	4-3	Tulsa	South Florida
20100123	H	7-0	Tulane	Centenary (LA)
20100123	H	6-1	Oklahoma	Oklahoma Baptist
20100123	A	5-2	Oklahoma State	Memphis
20100123	N	4-3	Texas Tech	San Diego State
20100123	H	7-0	Northern Arizona	Montana State
20100123	N	4-3	Michigan	Vanderbilt
20100123	H	6-1	Michigan State	Wright State
20100123	H	6-1	UNC Wilmington	Coastal Carolina
20100123	H	7-0	Rice	Lamar
20100123	H	7-0	Rice	Prairie View A&M
20100123	H	6-1	Brown	Boston University
20100123	H	5-2	Dartmouth	Sacred Heart
20100123	H	6-1	Dartmouth	Temple
