date	where	score	winner	loser
20090915	H	6-1	Mount St. Mary's (MD)	Shepherd
20090916	H	7-0	Rhode Island	Bryant
20090918	A	9-0	George Mason	Shepherd
20090918	N	1-0	West Virginia	Fairleigh Dickinson
20090920	H	5-2	Siena	Holy Cross (MA)
20090923	H	5-2	Providence	Bryant
20090930	A	6-1	Mount St. Mary's (MD)	St. Joseph's (PA)
20091001	A	7-0	UMass	Holy Cross (MA)
20091001	A	7-0	Rhode Island	Providence
20091008	H	4-3	UMass	Connecticut
20091008	A	4-3	Delaware State	St. Joseph's (PA)
20091010	H	0-7	Delaware State	La Salle
20091010	H	7-0	Mount St. Mary's (MD)	Wagner
20091011	H	7-0	Rhode Island	Monmouth (NJ)
20091011	A	7-0	Rider	Wagner
20091014	H	7-0	UMass	Rhode Island
20091021	H	7-0	Rhode Island	Fordham
20091021	A	5-2	Delaware State	Drexel
20091025	A	7-0	Lafayette	Wagner
20091029	A	6-1	Rhode Island	Hofstra
20100114	A	0-7	California	Hawaii
20100115	H	7-0	William & Mary	James Madison
20100115	H	6-1	Washington State	Idaho
20100115	H	7-0	Washington State	Lewis-Clark (ID)
20100116	H	7-0	Wake Forest	Elon
20100116	H	7-0	Wake Forest	Wofford
20100116	A	4-3	Ball State	Dayton
20100116	H	6-1	Colorado	Air Force
20100117	H	7-0	Indiana	Butler
20100117	H	5-2	Indiana	Western Michigan
20100117	N	4-3	Minnesota	Iowa State
20100117	H	7-0	Wisconsin	Northern Illinois
20100117	A	6-1	Eastern Michigan	Detroit Mercy
20100117	A	4-3	Nevada	Hawaii
20100118	H	7-0	Georgia Tech	Chattanooga
20100119	H	7-0	Duke	Memphis
20100119	H	7-0	Ohio State	Cleveland State
20100119	H	7-0	Ohio State	Xavier
20100120	H	7-0	North Carolina	Winthrop
20100120	H	6-1	Rice	A&M-Corpus Christi
20100120	H	6-1	Penn	Drexel
20100121	H	7-0	Ball State	Wright State
20100121	A	5-2	Utah State	Idaho State
20100122	H	5-0	VCU	Campbell
20100122	H	5-0	VCU	George Mason
20100122	H	5-2	East Carolina	NC A&T
20100122	H	6-0	East Carolina	NCCU
20100122	H	5-0	SMU	UTRGV
20100122	H	6-1	Duke	Old Dominion
20100122	H	6-1	Liberty	Morgan State
20100122	H	4-2	Texas Tech	Texas Arlington
20100122	H	7-0	Marquette	Villanova
20100122	H	6-1	Marquette	Illinois - Chicago
20100122	H	4-3	Minnesota	Kentucky
20100122	H	7-0	Purdue	Eastern Michigan
20100122	H	6-1	Miami (OH)	Xavier
20100122	A	1-6	Air Force	Gonzaga
20100122	H	7-0	Air Force	Seattle
20100122	H	7-0	UNLV	New Mexico State
20100122	H	5-1	Arizona State	UC Santa Barbara
20100122	H	6-1	Oregon	Portland
20100122	H	4-3	Tennessee	Illinois
20100122	H	5-2	Denver	Colorado State
20100122	A	4-3	BYU	Washington State
20100122	N	7-0	Pacific (CA)	Weber State
20100122	H	5-2	Winthrop	College of Charleston
20100123	H	5-1	SMU	Stephen F. Austin
20100123	A	5-2	South Florida	Florida State
20100123	H	7-0	Clemson	College of Charleston
20100123	H	7-0	Miami (FL)	Florida Atlantic
20100123	N	6-1	North Carolina	Kentucky
20100123	H	7-0	Wake Forest	Charlotte
20100123	H	7-0	Oklahoma	Oral Roberts
20100123	H	6-1	Texas	Rice
20100123	H	4-2	Texas Tech	Tulane
20100123	H	6-1	West Virginia	Youngstown State
20100123	H	7-0	DePaul	Butler
20100123	H	7-0	DePaul	Villanova
20100123	A	4-3	Indiana	Miami (OH)
20100123	H	7-0	Northwestern	William & Mary
20100123	N	6-0	Ohio State	Memphis
20100123	A	7-0	Ohio State	Missouri
20100123	H	6-1	Penn State	Bucknell
20100123	H	7-0	Wisconsin	Green Bay
20100123	H	7-0	Elon	NC A&T
20100123	H	7-0	Elon	NCCU
20100123	N	6-0	UNC Wilmington	Morgan State
20100123	N	6-1	UNC Wilmington	Norfolk State
20100123	A	4-3	Illinois - Chicago	Wisconsin
20100123	H	7-0	Dartmouth	Temple
20100123	H	7-0	Harvard	Boston University
20100123	A	5-2	Yale	Boston College
20100123	H	5-2	Buffalo	St. John's (NY)
20100123	H	6-1	Air Force	South Dakota
20100123	N	7-0	Boise State	Montana
20100123	H	7-0	Boise State	Montana State
20100123	H	5-2	UNLV	Pacific (CA)
20100123	H	7-0	UNLV	Weber State
20100123	N	4-1	New Mexico	Texas Arlington
20100123	H	6-1	Arizona	UC Santa Barbara
20100123	H	5-2	Arizona State	UC Davis
20100123	A	5-2	Utah	Washington State
20100123	H	6-1	Washington	BYU
20100123	H	7-0	Arkansas	Oklahoma State
20100123	H	6-1	Arkansas	Saint Louis
20100123	H	7-0	Auburn	Kennesaw State
20100123	H	4-1	Missouri	Memphis
20100123	A	6-1	Vanderbilt	Colorado
20100123	H	7-0	Coastal Carolina	Appalachian State
20100123	N	7-0	New Mexico State	Weber State
20100123	N	6-1	Seattle	South Dakota
20100123	H	6-1	Gonzaga	Seattle
20100123	H	7-0	Portland	Eastern Washington
20100123	A	4-3	Winthrop	Furman
20100124	H	7-0	SMU	Louisiana Tech
20100124	H	4-0	SMU	Texas State
20100124	H	7-0	Tulsa	Cameron
20100124	H	5-2	Clemson	VCU
20100124	A	7-0	Georgia Tech	Auburn
20100124	A	7-0	North Carolina	Minnesota
20100124	H	4-3	Virginia	Illinois
20100124	H	7-0	Virginia	Richmond
20100124	N	6-1	Oklahoma State	Saint Louis
20100124	H	6-1	Texas Tech	New Mexico
20100124	A	5-2	Georgetown	Penn
20100124	A	5-2	Marquette	Louisville
20100124	N	4-3	Northern Arizona	UC Santa Barbara
20100124	A	7-0	Indiana	Ball State
20100124	H	6-1	Iowa	Eastern Michigan
20100124	H	7-0	Michigan	Western Michigan
20100124	H	5-2	Penn State	Lehigh
20100124	H	7-0	Purdue	Toledo
20100124	A	5-2	Yale	Boston University
20100124	H	7-0	San Diego State	CSU Fullerton
20100124	H	6-1	San Diego State	UC Riverside
20100124	H	7-0	Arizona	UC Davis
20100124	H	7-0	Oregon	Eastern Washington
20100124	H	7-0	Oregon	Portland State
20100124	A	6-1	USC	Long Beach State
20100124	H	6-1	Washington	Utah
20100124	H	7-0	Florida	North Texas
20100124	H	7-0	LSU	Prairie View A&M
20100124	H	0-7	LSU	Louisiana
20100124	H	4-3	Tennessee	ETSU
20100124	H	5-2	Georgia	South Florida
20100124	A	6-1	Vanderbilt	Denver
20100124	A	7-0	Appalachian State	NC A&T
20100124	N	7-0	Gonzaga	South Dakota
20100124	N	6-1	Pacific (CA)	New Mexico State
20100124	H	7-0	San Diego	CSU Fullerton
20100125	H	1-6	USC	UC Irvine
20100126	H	7-0	Ole Miss	Southern Miss
20100126	H	6-1	South Carolina	Furman
20100127	H	5-2	Clemson	Troy
20100127	H	6-1	Virginia Tech	Elon
20100127	H	7-0	Princeton	Seton Hall
20100127	H	7-0	Princeton	Temple
20100127	H	5-0	UCLA	Pepperdine
20100127	H	6-1	Florida	Central Florida
20100128	N	7-0	Elon	Radford
20100129	N	4-1	Tulsa	Pepperdine
20100129	H	6-1	South Florida	Stetson
20100129	H	6-1	N.C. State	East Carolina
20100129	N	6-1	Iowa State	UTEP
20100129	H	5-2	West Virginia	Liberty
20100129	A	2-5	Montana State	Lewis-Clark (ID)
20100129	N	4-0	Sacramento State	Colorado
20100129	H	4-3	Michigan	South Carolina
20100129	N	5-1	William & Mary	Georgia State
20100129	H	6-1	Miami (OH)	Cincinnati
20100129	H	5-2	Toledo	Detroit Mercy
20100129	H	7-0	California	Utah
20100129	H	6-0	Stanford	San Francisco
20100129	H	4-0	UCLA	UNLV
20100129	A	4-0	USC	San Diego
20100129	H	7-0	Washington State	Eastern Washington
20100129	H	7-0	Washington State	Montana State
20100129	H	5-2	Arkansas	Washington
20100129	N	4-0	Auburn	LSU
20100129	H	4-0	Florida	BYU
20100129	H	4-1	Tennessee	Texas
20100129	H	5-2	Georgia	Virginia Tech
20100129	N	4-3	Vanderbilt	TCU
20100130	N	4-2	VCU	Wake Forest
20100130	H	4-3	Clemson	Texas A&M
20100130	H	7-0	Duke	Yale
20100130	N	4-2	Florida State	Virginia
20100130	H	4-2	Georgia Tech	Arizona State
20100130	H	7-0	Miami (FL)	Boston University
20100130	H	6-1	Syracuse	St. John's (NY)
20100130	N	7-0	North Carolina	Boise State
20100130	N	5-2	Virginia Tech	Georgia State
20100130	H	4-0	Baylor	Harvard
20100130	N	5-2	Kansas State	Northern Iowa
20100130	A	6-1	Kansas	Drake
20100130	N	4-3	TCU	Texas
20100130	N	4-3	West Virginia	James Madison
20100130	A	6-1	Marquette	IUPUI
20100130	H	7-0	Indiana	Cincinnati
20100130	H	6-1	Indiana	Marquette
20100130	A	5-2	Michigan	Arkansas
20100130	N	4-3	Minnesota	Wichita State
20100130	H	6-1	Northwestern	Old Dominion
20100130	A	6-1	Ohio State	Fresno State
20100130	H	7-0	Purdue	Cleveland State
20100130	H	7-0	Purdue	Illinois State
20100130	A	6-1	Long Beach State	Maryland
20100130	A	5-2	UC Irvine	San Diego State
20100130	A	5-2	James Madison	Liberty
20100130	H	6-1	Marshall	Eastern Michigan
20100130	N	4-2	Brown	Nevada
20100130	A	5-2	Dartmouth	Boston College
20100130	H	7-0	Penn	St. Joseph's (PA)
20100130	N	5-2	Princeton	Denver
20100130	H	4-3	Toledo	Xavier
20100130	H	7-0	Colorado State	Portland State
