date	winnerId	loserId	where	roundPos	team1	winner	team2	loser	score
20100903	414758	446552	N	    	Davidson	Elise Held          	UNC Greensboro	Mikayla Rogers      	6-2, 7-6
20100903	444285	463301	N	    	Davidson	Alison Rauh         	UNC Greensboro	Alex Whitehead      	6-3, 4-6, 1-0(8)
20100903	417554	446552	N	    	Gardner-Webb	Ronia Huttereli     	UNC Greensboro	Mikayla Rogers      	6-4, 6-1
20100903	463301	438574	N	    	UNC Greensboro	Alex Whitehead      	Gardner-Webb	Ioana Oprea         	6-4, 6-4
20100903	455866	415676	N	    	UNC Greensboro	Devon Sutherland    	Davidson	Tamara Hill         	6-0, 7-6
20100903	465787	390612	N	    	UNC Greensboro	Dilara Yurtkuran    	Gardner-Webb	Tavenner Black      	7-5, 6-4
20100903	445661	393458	N	    	UNC Greensboro	Annette Rios        	Davidson	Frizzi Bschorer     	6-4, 6-3
20100903	465787	399595	N	    	UNC Greensboro	Dilara Yurtkuran    	Davidson	Nisha Crouser       	6-4, 6-3
20100904	399595	389918	N	   2	Davidson	Nisha Crouser       	Elon	Briana Berne        	6-3, 6-2
20100904	438574	419510	N	   2	Gardner-Webb	Ioana Oprea         	Elon	Jordan Johnston     	6-4, 6-1
20100904	463201	389918	N	   2	Gardner-Webb	Erica White         	Elon	Briana Berne        	6-2, 6-3
20100904	421697	446552	N	   2	Elon	Bryn Khoury         	UNC Greensboro	Mikayla Rogers      	6-2, 6-1
20100904	418577	456168	N	   2	Elon	Frida Jansaker      	Davidson	Stephani Synn       	6-3, 6-2
20100904	454368	414758	N	   2	Elon	Viviana Starvreva   	Davidson	Elise Held          	6-2, 6-1
20100904	421697	415676	N	   2	Elon	Bryn Khoury         	Davidson	Tamara Hill         	6-0, 6-1
20100904	418577	428257	N	   2	Elon	Frida Jansaker      	Gardner-Webb	Jenny Lunde         	6-2, 6-2
20100904	419510	428603	N	   2	Elon	Jordan Johnston     	UNC Greensboro	Stephanie Macfarlane	6-0, 6-1
20100904	421697	417554	N	   2	Elon	Bryn Khoury         	Gardner-Webb	Ronia Huttereli     	6-1, 6-1
20100904	419510	408569	N	   2	Elon	Jordan Johnston     	Davidson	Samantha Galaninea  	6-2, 6-2
20100904	454368	411178	N	   2	Elon	Viviana Starvreva   	Gardner-Webb	Rita Gouveia        	6-1, 6-2
20100904	442375	390611	N	   2	Elon	Andrea Pont Grau    	Gardner-Webb	Tavanner Black      	6-4, 6-2
