date	where	score	winner	loser
20200905	H	7-1	Dubuque	Grand View
20200905	A	9-0	Wartburg	Dubuque
20200905	N	7-0	Wartburg	Grand View
20200905	N	6-1	Huntington	Goshen
20200905	A	5-4	Huntington	St. Francis (IN)
20200905	N	4-0	Marian (IN)	Bethel (IN)
20200905	A	5-2	Marian (IN)	Grace (IN)
20200905	H	6-1	Grace (IN)	Bethel (IN)
20200905	N	7-0	Indiana Wesleyan	Indiana Kokomo
20200905	A	7-0	Indiana Wesleyan	Spring Arbor
20200905	A	4-3	Cowley County (KS)	Southwestern (KS)
20200908	H	7-0	Indiana Wesleyan	Bethel (IN)
20200908	H	7-0	Indiana Wesleyan	Goshen
20200910	A	5-2	Grace (IN)	Spring Arbor
20200910	N	7-0	Grace (IN)	St. Francis (IN)
20200911	H	6-1	Grace (IN)	Adrian
20200911	H	4-3	Goshen	Judson (IL)
20200911	H	4-3	Indiana Southeast	Indiana Kokomo
20200912	A	7-2	Coe College	Dubuque
20200912	H	8-1	Loras	Coe College
20200912	H	5-4	Wartburg	St. Ambrose
20200912	H	4-3	Huntington	Spring Arbor
20200912	H	0-0	Marian (IN)	St. Francis (IN)
20200912	A	4-3	Bethel (IN)	Huntington
20200912	A	6-1	Grace (IN)	Goshen
20200912	N	7-0	Grace (IN)	MVNU
20200912	A	7-0	Indiana Wesleyan	Marian (IN)
20200912	N	7-0	Indiana Wesleyan	St. Francis (IN)
20200912	A	4-3	MVNU	Goshen
20200912	H	5-2	Concordia (NE)	William Jewell
20200912	A	5-4	Iowa Central	Wartburg
20200914	A	9-0	Grace (IN)	Manchester
20200915	A	9-0	Luther (IA)	Dubuque
20200915	A	7-2	Luther (IA)	Loras
20200915	A	7-2	Wartburg	Coe College
20200916	A	6-1	Marian (IN)	Goshen
20200916	N	6-1	Marian (IN)	Spring Arbor
20200916	N	5-2	Grace (IN)	Huntington
20200916	H	7-0	Indiana Wesleyan	Huntington
20200916	H	7-0	Indiana Wesleyan	Grace (IN)
20200918	H	7-0	Indiana Wesleyan	Indiana Kokomo
20200919	H	9-0	Central (IA)	Dubuque
20200919	H	9-0	Luther (IA)	Nebraska Wesleyan
20200919	H	9-0	Simpson (IA)	Dubuque
20200919	H	8-1	Wartburg	Nebraska Wesleyan
20200919	H	5-4	Trine	Calvin
20200919	N	6-1	Marian (IN)	Huntington
20200919	A	6-1	Marian (IN)	MVNU
20200919	A	4-3	Grace (IN)	Cornerstone
20200919	H	7-0	Indiana Wesleyan	Judson (IL)
20200920	A	5-2	Quincy	Truman State
20200920	N	9-0	Trine	Olivet
20200922	H	7-0	Marian (IN)	MVNU
20200922	H	7-0	Indiana Wesleyan	St. Francis (IN)
20200923	A	9-0	Trine	Manchester
20200923	A	8-1	Cornell College	Dubuque
20200924	H	4-1	Marian (IN)	Grace (IN)
20200924	H	4-0	Indiana Wesleyan	Spring Arbor
20200925	A	9-0	Coe College	Buena Vista
20200925	H	8-1	Wartburg	Simpson (IA)
20200925	N	8-1	Calvin	Concordia (MI)
20200926	H	5-4	Simpson (IA)	Central (IA)
20200926	H	8-1	Trine	Manchester
20200926	H	4-0	Indiana Wesleyan	Marian (IN)
20200927	A	7-2	Loras	Buena Vista
20200927	A	4-1	Illinois Wesleyan	St. Louis - Pharmacy
20200927	H	9-0	Trine	Adrian
20200928	H	6-1	Morningside	Grand View
20200929	A	7-2	Simpson (IA)	Buena Vista
20200929	A	6-3	Trine	Bethel (IN)
20201001	H	8-1	Coe College	Cornell College
20201001	A	5-4	Morningside	Buena Vista
20201002	H	8-1	Wartburg	Cornell College
20201003	A	8-1	Coe College	Nebraska Wesleyan
20201003	H	8-1	Luther (IA)	Simpson (IA)
20201003	H	9-0	Luther (IA)	Buena Vista
20201003	H	5-4	Wartburg	Central (IA)
20201003	A	5-0	St. Ambrose	Dubuque
20201003	H	4-3	Tabor	Morningside
20201003	H	4-3	Tabor	Morningside
20201004	A	5-2	McKendree	Quincy
20201004	H	7-2	Luther (IA)	Central (IA)
20201004	A	5-4	Simpson (IA)	Cornell College
20201004	H	5-4	Cornell College	Wisconsin Lutheran
20201005	N	6-3	Wisconsin Lutheran	Simpson (IA)
20201006	H	9-0	Simpson (IA)	Grand View
20201006	A	9-0	Bethel (IN)	Manchester
20201007	A	8-1	Simpson (IA)	Nebraska Wesleyan
20201007	N	5-2	Holy Cross (IN)	Bethel (IN)
20201008	A	5-4	Wartburg	Loras
20201009	A	7-2	Dallas Baptist	Hardin-Simmons
20201009	H	9-0	Buena Vista	Dubuque
20201009	N	5-2	Holy Cross (IN)	Indiana Southeast
20201009	H	7-0	Indiana Wesleyan	Holy Cross (IN)
20201010	H	6-3	Central (IA)	Coe College
20201010	A	8-1	Luther (IA)	Wartburg
20201010	H	5-4	Simpson (IA)	Coe College
20201010	H	7-2	Buena Vista	Grand View
20201010	H	7-0	Indiana Wesleyan	Indiana Southeast
20201011	A	9-0	Central (IA)	Nebraska Wesleyan
20201011	A	9-0	Luther (IA)	Coe College
20201011	H	6-1	Bethel (IN)	Adrian
20201012	H	9-0	Wartburg	Buena Vista
20201014	A	6-3	Buena Vista	Nebraska Wesleyan
20201016	A	0-0	Tabor	Baker
20201022	N	5-4	Loras	Simpson (IA)
20201024	A	7-2	Loras	Nebraska Wesleyan
20201030	A	4-3	Missouri	Central Arkansas
20201030	A	4-3	Missouri	Central Arkansas
20210106	H	6-1	Buffalo	St. Bonaventure
20210114	H	7-0	Duke	Charlotte
20210115	H	7-0	SMU	Abilene Christian
20210115	H	7-0	SMU	Abilene Christian
